publishedAt,Title,description,url,source,sentiment_label,sentiment_score,prob_positive,prob_negative,prob_neutral,sentiment_confidence
2026-08-27 20:06:27+00:00,AbbVie stock slips after a $464.81 billion valuation and Q2 beat - Ad-hoc-news.de,AbbVie stock slips after a $464.81 billion valuation and Q2 beat - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMixAFBVV95cUxONW1CYjJqR2N2eXBsWXdWSEREWWdiOERlUUxkdjNSRFhMT0NOUWFpU05ySWJ6aUc3X2FKMzAzVXhGUFpreXZIemRSMGhkRmFCWUppdkN5SERFeG9TMlNYajZQQ2lhLXlCQzh0TVFfTzd1VUpiTlU0VWo0RUxCRGZJeXVJN0xjcmdhdGY5TUk2el9oZWczV0kwQXpib3YyNkx5ZUd0UmNfSENLQlJrV1RsVndaZ0hoMVlrOTRJSE9WZlltcnFr?oc=5,{'name': 'Ad-hoc-news.de'},negative,-0.9176,0.0411,0.9586,0.0003,0.9586
2026-08-26 20:00:44+00:00,"If You Invested $100 In AbbVie Stock 10 Years Ago, You Would Have This Much Today - Benzinga","If You Invested $100 In AbbVie Stock 10 Years Ago, You Would Have This Much Today - Benzinga",https://news.google.com/rss/articles/CBMitwFBVV95cUxOYXJvTzROazJOM0pUUGNLc1duYlI5R2xxNTNxVDZhaXloMDZDNzdidjRrck5xWndENG5Vd2J5TDk5OUxkQ3k5MU85SkdGcDdQZllmR25NMTZOLTF0YWNOX1ZIRkVOLXFIX0lrbHFqVHRWN0FVOHh2cHFUdDNWX2xHVDBzc3JTSVpZQUhHSzhDVjZnRzJUVkVFcEEtd0lmZFdJUlA3X1BGWVQ0eUxoTS1mSGtWdmtjZVk?oc=5,{'name': 'Benzinga'},neutral,-0.0,0.0,0.0,1.0,1.0
2026-08-26 19:41:03+00:00,Has AbbVie Stock Become Too Expensive to Buy? - Trefis,Has AbbVie Stock Become Too Expensive to Buy? - Trefis,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQWDlyb1BDUGY3dDdTM2E5ck9oazE4RUJwVm1TRjZ3X0VVdUFCcktsczI1Zm1qNDFjNmt0TkNqMkxwcVIzLWkyZjl4QzR4ZjVJU1NLUHEzNUpORzUtQUNBU2lTMXlUb3Nrb0VRUXNIOFJJM0dhclJEYjhPaVJNdXdGSURscjByZ3dxaWszRzlSdlNQRDBxQkd3bVFCcENwenRpa21udmRUb1Y?oc=5,{'name': 'Trefis'},negative,-0.5874,0.0021,0.5895,0.4084,0.5895
2026-08-26 18:35:40+00:00,AbbVie stock trades near 52-week high as Q2 2026 immunology growth lifts earnings - Ad-hoc-news.de,AbbVie stock trades near 52-week high as Q2 2026 immunology growth lifts earnings - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQMVlZaUR5VlljMG45NWdYdTdvcUVNd3hBeEJnZ0E2bFVvZ1UzNy0yeHNkSHlmTHdBZzZKMVd6RFh1dUZ2WWVwRlI4cWU2NnJtVXVsZ1FuUjBfdVdtNTRaNHpsUms1dG4wam5icDhfLW02Q09RYmhNN3F0b25RZjJmSFBDNVMxWTV0RTV5X2pBbV9sdTNnU1pHMDN1MDdDWVFaNXRReFJHRG1KeUR1VjBoaWNlSkotdWtJaGFhc1BpeXEtLTVyNzlfXzAxaV9DM2xJ?oc=5,{'name': 'Ad-hoc-news.de'},positive,1.0,1.0,0.0,0.0,1.0
2026-08-25 15:14:00+00:00,LLY vs. ABBV: Which Stock Has the Stronger Growth Prospects? - TradingView,LLY vs. ABBV: Which Stock Has the Stronger Growth Prospects? - TradingView,https://news.google.com/rss/articles/CBMiswFBVV95cUxOTXJyNDRQLWpSNkFHeWNqbTdUWjhkcXpRQmNMQlFpQ2paNUxxYVdtSVYxakFtTk1BdGNheURiR3lmUThUdmxfZGswOHpBM1NEZ3dablBMZXJkUklqNVJKeko3N3kzMXRhVWd3QWcxQjdtV1hUMnlJNkJQbW9TZ0JZS1hGR2NCcm9ncDdBM2NxM3NSSWlLNGo1dWRqUXVwNHFxN1lteVkxYld6T1loRENDWU9Cdw?oc=5,{'name': 'TradingView'},positive,1.0,1.0,0.0,0.0,1.0
2026-08-25 13:53:54+00:00,AbbVie stock holds above $265 as oncology pipeline and fresh guidance support outlook - Ad-hoc-news.de,AbbVie stock holds above $265 as oncology pipeline and fresh guidance support outlook - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMiywFBVV95cUxNdkdjYXg5dnRaZDVHekRmWnlXaG5HYjFGNzRpMWVkSkpUaDhFcGZNYTdwamY3Y0QtTUhFQTFSX3U3NFRxZGFUN2FHa0NxNTkydVdnOUg1TC1YSnpWZHpxcUxmdFNUdko0T0tsbjdHNHFMVVpkZVVFVGx3djBQbV9WclVrRVgtU2t1YnBFQmxDMEhXTk83ZGJNV0ZwQVVBeWVYQld0VlZrRE9sYkRqUFJPOElWZlZmSkZZVUFWVWpaNHNxZVZlX3ZjVlNGNA?oc=5,{'name': 'Ad-hoc-news.de'},positive,1.0,1.0,0.0,0.0,1.0
2026-08-24 06:53:50+00:00,AbbVie stock builds on Q2 2026 growth as immunology and neuroscience drive earnings - Ad-hoc-news.de,AbbVie stock builds on Q2 2026 growth as immunology and neuroscience drive earnings - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQVW5rSWFKRjZDWTVkMzF1Qk9SRWp3SlFtQXQ2dzM5dG1YVmFTMHFfdDhfS2FmWlBQRlpqX3JpX3dqLTA2Yy14RWxQQlJyWlVKVTg0TkhZS2NSNVRQM0VvbFQ0SS12Z1lxN0tkbkpQMXVacFdQSUhvTjJWX2VCVWNZWWY2ODZ2MjRnVUEteHpzWlVCXy1wUTRJdjQ2UTRoMVhXbkRrMnphdTd2Q0ZfblRtSzN6RnZMb09RZFViM2RnYVFOTXhtbXZ1MFVWOV90RzZBYl9V?oc=5,{'name': 'Ad-hoc-news.de'},positive,0.9994,0.9994,0.0,0.0006,0.9994
2026-08-21 17:48:22+00:00,Most Of What Moves AbbVie Stock Has Nothing To Do With The Market - Trefis,Most Of What Moves AbbVie Stock Has Nothing To Do With The Market - Trefis,https://news.google.com/rss/articles/CBMixAFBVV95cUxNTGE1aFhteWt2LW01ME9HNzdVNWw3N0Y2Z1lBVEZMaDZ4ZHV4NWliWFdXOEs0ZV93emRxTE80Tm5heHc3V3d0bUhNZXRxT0d3Zzh6aWZBdnc2V3k4T1N3SWlncVdSTEZ5cThBVnJ5d1FURzJwUDE2WEg0d3NrRV9lT1RrWXU2WjJ1RUc0WTd2NUJqZnpFRk1fd2xjLXRkQzliYnlnZDB5cmNhcE5xd1o3X2JYQ0pfU1lhSk8ySlp4OEdJOUFf?oc=5,{'name': 'Trefis'},neutral,-0.0001,0.0,0.0001,0.9998,0.9998
2026-08-21 11:42:54+00:00,AbbVie Stock's Uncoupled Performance - Trefis,AbbVie Stock's Uncoupled Performance - Trefis,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPZEk1R0lIcWZYX2lGUGJOeERjY3l6blZVQV80aE9pZVpCQ3hKLUFQRnItNGlIeHdNdjJEaFBWV3o0YXJCR2JJcVJUcmpaNy1yLXZpaWMxVmVJdGw0S2NYQTlZTkdyU1I2RTJsQ2dScGVpb3VLZ0c5cjg2QjJmZjd0RnFhOWxBTTZZWV9oZTZhMGRETWNqdmJuTnVSWm9JS0xkT2ZPYlgxUGotQQ?oc=5,{'name': 'Trefis'},neutral,-0.0002,0.0,0.0002,0.9998,0.9998
2026-08-19 21:40:00+00:00,AbbVie Raises $9 Billion Debt to Fund Acquisition - The Globe and Mail,AbbVie Raises $9 Billion Debt to Fund Acquisition - The Globe and Mail,https://news.google.com/rss/articles/CBMizgFBVV95cUxNZzR6OXk2RE9ueU9IOWF1dnE3YTg5MFY0YkJJWTlIV2FFUW1PUF95OVpBMFdFVktWem5mRjE2NDVuWm92ekRSQ1dtUWFiVFJsUTFMN0V3VlEtQzVNSzFvb2laVmdObDFNUjRzTF80R3M1TWFTQTJrR2NBazFMUTRDTHZLc2pSOXhiR1JLZTd6OHZJVUNicHJENWh0ejhXT1d1NVJ0dVM5QlRYekFDOTByeFA2a1M0NF9DNGJLcGNOVW9FUi1ZZFZGX2VtWGpHZw?oc=5,{'name': 'The Globe and Mail'},neutral,0.0,0.0,0.0,1.0,1.0
