publishedAt,Title,description,url,source
2026-08-31 21:22:00+00:00,"DraftKings Inc. Cl A stock falls Monday, underperforms market - marketwatch.com","DraftKings Inc. Cl A stock falls Monday, underperforms market - marketwatch.com",https://news.google.com/rss/articles/CBMi0wFBVV95cUxQRmVZMmFqZGw0MWU1R0ZTUGxERkliWXlVYUNReXJtMlVuUm1wVkRlZkktSjJqY1lKakk5WGxkSzhIbjJaMjZaQkdTTEYwWVhYRjRNWGdrVWRwc0Zkc19xbnVjMW84SVBCdjNzTnpyazdfU1QzWmNuSXVXMVpLa1R4QjVQcUJ1TVNaeEJoaDJGdFo2WWM4cjV3SlNZVTBTSmhaTEhIR1NtTEhaS0s2VHVieHpGdUJlak1MZVE0dEpVNGdBV0g4dTNKYkpaZTZ3ZlhFSTRZ?oc=5,{'name': 'marketwatch.com'}
2026-08-16 07:00:00+00:00,Colgate-Palmolive (CL) Stock Could Trade At A Discount After Its 32% Run - Yahoo Finance,Colgate-Palmolive (CL) Stock Could Trade At A Discount After Its 32% Run - Yahoo Finance,https://news.google.com/rss/articles/CBMingFBVV95cUxNOWticFJEVHNma1Jubl9rUE5FS1ltSk1nVGt1YjFzNEszeHJPblJlWThZTnlvZkNHamhfOERJYVc3dUxaeWZSaURpM2JOc1M1cVBOMksyOHowVnp6eG1PUlM1RTVmckdDbTFQUHhybWo2ODZhbHdWTUJfcUYyU0F0YTN4aTJjTUVkOWRHSlN5Q2hyekZFSi1JaTdVSXFJUQ?oc=5,{'name': 'Yahoo Finance'}
2026-08-30 07:16:13+00:00,Colgate-Palmolive Company $CL Shares Sold by Alyeska Investment Group L.P. - MarketBeat,Colgate-Palmolive Company $CL Shares Sold by Alyeska Investment Group L.P. - MarketBeat,https://news.google.com/rss/articles/CBMizAFBVV95cUxPLUVXOWFJbGEybFk0MFFlX1M5VG10cGtFakpJeFpwczRjZl9MNGNURHQydGFNdUpYSlp4VHB4bWpnTlMxMzdkTnFQVjdiUTNlUHZVYlEwYUxzNFZCNnAtbmREWUxNYjhCTXdHbWxMaUNiS1NHRkxMd3UzR0NCWk9HRDJJS21pOGNBVkp1TjRqYVRoTWVLNXc4X1ZrNjY2UkV2QWYwZF9nZ1BsMnN0MXZRcHZKR2V2SEJGVWtNYml4ZXJBcngtbjctclZwOUg?oc=5,{'name': 'MarketBeat'}
2026-08-31 21:07:00+00:00,"LyondellBasell Industries N.V. Cl A stock rises Monday, outperforms market - marketwatch.com","LyondellBasell Industries N.V. Cl A stock rises Monday, outperforms market - marketwatch.com",https://news.google.com/rss/articles/CBMizAFBVV95cUxPc2xhdUpFQWx0d1RldlQtRnduSzhQc0RxNW9CekpTZ3d0bVhyYTdPY3dYbWg0b3ZNNDV1bGMxTlNnN01Eci1lcV9XRHVwcFhpb0lST3lNOFJyQjBNdVFfdkd2N3RVSldSbmtEUkNHZ1FDTTRRVUFMS01SbDhnT0ZwLURqV2VpTUhmdXMtNmwwcjhkcGtMelk0S2pyUWxuTTFMRlUwOVFpMEE4WGc5WFVxZFJkSGJycWFNdGI0RElCNDZqZ21hcUtFUFBZTjk?oc=5,{'name': 'marketwatch.com'}
2026-08-30 09:41:03+00:00,"Wellington Management Group LLP Sells 246,439 Shares of Colgate-Palmolive Company $CL - MarketBeat","Wellington Management Group LLP Sells 246,439 Shares of Colgate-Palmolive Company $CL - MarketBeat",https://news.google.com/rss/articles/CBMi3AFBVV95cUxObDVoajROajZzSUg4TWljWlQ0Zk8zNUpoSHdneGh3Y3RVWjZGU2xNS3Rpc3psTFVjQ1JtbjdWUllIUmg1eGFWU2lUTTVneHhHcTJJV1AwLW9lQjRHcVgxVEt6RmxOZ0tLVHhvbjBNNFFEaVF0M2RicFVYV21XYnY0emVOenpESXMzcVBBOFVsNnBlUEp5NnAyOUtwVEp4V2lTbnYwbEtCVWtMb1hBSWhLMHNwRkNmZ253ODZTTE5wOE10OXlGUC1Fc0FUaU1aQWtuMWpHS05jeEx2OWdu?oc=5,{'name': 'MarketBeat'}
2026-08-25 10:10:15+00:00,Did Colgate-Palmolive’s (CL) Volume-Led Q2 Strength Just Shift Its Investment Narrative? - Yahoo Finance,Did Colgate-Palmolive’s (CL) Volume-Led Q2 Strength Just Shift Its Investment Narrative? - Yahoo Finance,https://news.google.com/rss/articles/CBMinAFBVV95cUxNc1EtTmVNcXV2VjhEZ1d1RXlITlFDMjZoUno3LWdJNXlPUzNGdDFwakQyMEI0cXA1Uy11WHhaTG5GdWRMaWhxNVFBd3B1NXBNbVFNdkRpeHdWZjk3ajlIX1Nzb1YtR1EwOEZ4WVpkVWlfQnVDbE1tWF80Unc3NXZzdHg5VjlfaEc3cU00QVpxTko1cjJXeGhKTTJ1NWU?oc=5,{'name': 'Yahoo Finance'}
2026-08-31 20:48:00+00:00,Nike Inc. Cl B stock outperforms competitors despite losses on the day - marketwatch.com,Nike Inc. Cl B stock outperforms competitors despite losses on the day - marketwatch.com,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNbU9xNHEtOUJGS2x1LXJ3TFVNSEFuNTVMZFNTNmxObGlSWU9ILVBIMkgzaGMzMUtQZ0E2amlBcUNSMGxra1diaUZiU2FDczRwYjY5X2RrQXBOMUFSZXRwbWJ5S3lXVUdaZDNLMFozVUtjU2c4YXpoY2ZzcUl5dExzSmlzVEkzOEZSYzlCZi1ZWGFDOTl2bWpuUFlHdUFSRERmNVRfRWpXRWJZVXZzWDdSWGNzdGdKWjVuRnViRmF2YkNlRzV5QWhja2YzM3J0SzZOd1RJeXRPdWhBUEVweG5DMA?oc=5,{'name': 'marketwatch.com'}
2026-08-29 07:54:15+00:00,"Beacon Pointe Advisors LLC Buys Shares of 90,487 Colgate-Palmolive Company $CL - MarketBeat","Beacon Pointe Advisors LLC Buys Shares of 90,487 Colgate-Palmolive Company $CL - MarketBeat",https://news.google.com/rss/articles/CBMi0wFBVV95cUxOaElyOFozRmIxdXAzZHltYmhBcmFHLUE3UF95OG1FbEF4c3U3VlZpUkFaWUxUa2N3ZmZJYVV0MTg2eFlPTThfYk5ZTUdvNHphelI4OHlMQUJibGNfRnBXSnVBeFNVMW91OWdReWowTm9kOXphNWI5MW5WV3BLaUlZbUNDejV5cEx6bnFka0E0QVo3NkJEVFR4UTRLS3pGbjU0dm1lSF9RRVFlckZTZjBrbmIzMTlKZ2FReC1MV0ZOUHJvWnI5cEF1MDdjZGh0VGdjMnhR?oc=5,{'name': 'MarketBeat'}
2026-08-31 20:32:00+00:00,"CGI Inc. Cl A stock rises Monday, outperforms market - marketwatch.com","CGI Inc. Cl A stock rises Monday, outperforms market - marketwatch.com",https://news.google.com/rss/articles/CBMirwFBVV95cUxNYjhLYm9fNHoxdEdyLTQ0aHVlRkI4Tlp1dDBrek41NEtFMkJVSGZTb3NIXzZ0c3JMSjNDWDlUNGpKcWFSWm5YRlNfbHhjOXBheVBvU3BpTXI0X3lvWDVxQkxnTG1BZ0NmY3JuX0JoS0dGZkVxQXFjdmNrdzVQZm1vdEJEbUhsamNnT1hkMXBwaVBtRUJkZWlYVXQzSGZlWUtnbnQyb0FJXzFXTWZEaVBF?oc=5,{'name': 'marketwatch.com'}
2026-08-29 10:22:51+00:00,Rakuten Investment Management Inc. Buys New Stake in Colgate-Palmolive Company $CL - MarketBeat,Rakuten Investment Management Inc. Buys New Stake in Colgate-Palmolive Company $CL - MarketBeat,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPVGN1RVNKN3drMjRNMlZlWWltM3p4cEREZ1JuWjRtcFU5ZjVVQXRPcnhQeHlCbFcyVnBud0dOUTkwcFRFNlVmUzNxTHlIN1YyUkJQbkxLdjRmbW9JVEtMMmlUZ3lrY0NFaHNDeFFJZHFEaXMtR2J0eDNoLWY1WGR1cVBPUjNVQ19Ia1V5bU5WOVRERkI1NzIyMlRQc1ZkdWNuTjVXOW5KRFBNRVYxNEhVYjRUN1dYMklDUWpoeUNXOVlhSFFfdmg3bTdRWFh3SXVEM3p2eGF4enQ?oc=5,{'name': 'MarketBeat'}
2026-08-31 20:30:00+00:00,Molson Coors Beverage Co. Cl B stock underperforms Monday when compared to competitors - marketwatch.com,Molson Coors Beverage Co. Cl B stock underperforms Monday when compared to competitors - marketwatch.com,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOc3d6QmNJVkFaSFlua3VSOEhudHpiM2l2QTlJS3lWQ3U0LWVoT0g4YkNwa19ZdmctOVJqaEY0SnVIaDlsR3lsTlhTbV9ISE9EbGI0eHkxdUVnTGFqby14eGxfY3NOTFhlUHE5YWtRU3pEZlZSVmNRTHh1bWF3aGN0OFVERFBabXNJQnV6UHNndnhiN3pUSG5aQWhYdGZXWTJuaGFXc0I2UUJseVNuVXpweFM4ZWdta3VMRm9pWld6OXAwb1VNNVE0S0lzS1NGcjZJMjM4ZzV0QXI1ZHZpdWc?oc=5,{'name': 'marketwatch.com'}
2026-08-29 11:01:14+00:00,"57,248 Shares in Colgate-Palmolive Company $CL Acquired by Kingsview Wealth Management LLC - MarketBeat","57,248 Shares in Colgate-Palmolive Company $CL Acquired by Kingsview Wealth Management LLC - MarketBeat",https://news.google.com/rss/articles/CBMi4wFBVV95cUxPNnNqajdaYXc4cVEwRGhzZWFaZVNROFc4Y3p5RmJodTlpbHNCSGIyR3I4Q0FoUlBrTXhGZWZ3d29pckZhcF94cHM0QmIyRHItMDBqQndiUFBKRktUTU01ay1FU1BqanJXaWo3cFFwRFhnTEpYcUJBYkl5VXR5VVkwTUZ4TnU1R1MyU1Vkc3lhNmtoWmg1dC11RGt6V01EWGpFY1p4N3ZqSFNVZ2NOZURuTTZDekN3clBNQzloMWJnREN5VVZ5NXYtUEt1VF9OSm1zU3hZeHktakVGdkcxczFxa0tRcw?oc=5,{'name': 'MarketBeat'}
2026-08-28 08:33:08+00:00,Corient Private Wealth LP Purchases New Shares in Colgate-Palmolive Company $CL - MarketBeat,Corient Private Wealth LP Purchases New Shares in Colgate-Palmolive Company $CL - MarketBeat,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPbkRCSE1rc3BzbVY5TE9kN1FrNTgzbzFhRmthYmQyU1FXUnNRUmtzcjlpVkNtcXdicThrTERwSEF3RDBXaTBXdEFWdmlNUllHblg0NnhjcEtjZTR4N245eWpSTHR6clFKTlE0QVlkNkFsWjlMZ1F5STF4amZuT01rdVlGelFZTGtsNkFlTmk4bXR5WUJscmxHal9JQnJCbk04RGJCemJEeG9nSWNyVEJFQnBkSXd4VnpjZWVsaXI1U1RqVWRWVS1ESWZ5RkpvYlFIbXNYNjBn?oc=5,{'name': 'MarketBeat'}
2026-08-25 20:30:00+00:00,"LyondellBasell Industries N.V. Cl A stock falls Tuesday, underperforms market - marketwatch.com","LyondellBasell Industries N.V. Cl A stock falls Tuesday, underperforms market - marketwatch.com",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQUGkwZE5FbGRfU29pOFJuQU9pNDktQVhmT1lrZ0tQNGlSdzhUdXF3X0tPcGVIVWRTTDlKNUVXbWRyZzZKcDVtVTdyN191cTBqdjVYWWRzVDhPUk5kcDFXYl9XYzh1ZTZvY24tNmhhWklFT2RkZ3d3TEJycEtZRm1CZ3pNMWxLejg5c2pWMm5nTWhJSFhValhyS1JnVjhfb1ljTGlXWGpVZjNsNnRBLUdBT09TcmRTU0gzTEhYcm1EWV9zQkVnRzh4dlQxd2g0VVhQ?oc=5,{'name': 'marketwatch.com'}
