Date,Close,High,Low,n,Open,Volume,vw,Dividends,Stock Splits
2020-07-27 00:00:00+00:00,318.16,319.65,316.61,389,317.83,26063,318.11,0.0,0.0
2020-07-28 00:00:00+00:00,322.08,324.8,318.21,582,318.43,49108,323.34,0.0,0.0
2020-07-29 00:00:00+00:00,322.47,325.1,320.6,302,324.38,20221,322.58,0.0,0.0
2020-07-30 00:00:00+00:00,317.62,321.07,317.24,365,318.42,25094,318.85,0.0,0.0
2020-07-31 00:00:00+00:00,315.57,317.17,311.29,506,315.93,37557,313.26,0.0,0.0
2020-08-03 00:00:00+00:00,314.2,314.96,309.76,407,313.5,21713,312.89,0.0,0.0
2020-08-04 00:00:00+00:00,314.74,317.0,313.37,615,315.37,40537,314.9,0.0,0.0
2020-08-05 00:00:00+00:00,319.22,320.21,315.59,578,316.25,47371,318.56,0.0,0.0
2020-08-06 00:00:00+00:00,315.96,318.58,314.83,424,318.58,27061,315.95,0.0,0.0
2020-08-07 00:00:00+00:00,320.85,321.8,316.87,525,317.26,34617,319.42,0.0,0.0
2020-08-10 00:00:00+00:00,324.28,325.51,322.69,345,323.24,16554,323.92,0.0,0.0
2020-08-11 00:00:00+00:00,326.23,332.56,325.88,992,328.54,47171,329.13,0.0,0.0
2020-08-12 00:00:00+00:00,326.77,330.06,326.04,434,328.29,31017,327.73,0.0,0.0
2020-08-13 00:00:00+00:00,323.99,327.96,322.3,365,324.52,24718,325.04,0.0,0.0
2020-08-14 00:00:00+00:00,326.07,327.93,323.53,323,323.53,14462,326.03,0.0,0.0
2020-08-17 00:00:00+00:00,323.8,328.62,323.0,267,327.74,12086,324.86,0.0,0.0
2020-08-18 00:00:00+00:00,324.88,326.23,323.7,345,323.77,19458,324.78,0.0,0.0
2020-08-19 00:00:00+00:00,324.76,326.13,323.99,306,324.27,16513,325.05,0.0,0.0
2020-08-20 00:00:00+00:00,322.94,323.63,319.5,437,323.3,18987,321.49,0.0,0.0
2020-08-21 00:00:00+00:00,324.31,324.65,322.34,379,322.69,17117,323.71,0.0,0.0
2020-08-24 00:00:00+00:00,328.36,328.75,324.93,300,325.33,17305,327.64,0.0,0.0
2020-08-25 00:00:00+00:00,328.56,334.56,326.84,369,329.88,23804,328.68,0.0,0.0
2020-08-26 00:00:00+00:00,329.27,330.7,325.81,302,326.42,15194,328.67,0.0,0.0
2020-08-27 00:00:00+00:00,329.17,332.81,329.01,203,331.31,8310,330.21,0.0,0.0
2020-08-28 00:00:00+00:00,329.21,329.22,326.52,221,329.19,14815,327.9,0.0,0.0
2020-08-31 00:00:00+00:00,327.43,330.15,325.43,235,329.54,8974,327.32,0.0,0.0
2020-09-01 00:00:00+00:00,324.14,325.74,322.53,438,324.11,20610,323.98,0.0,0.0
2020-09-02 00:00:00+00:00,333.8,334.0,322.41,649,323.37,37902,330.16,0.0,0.0
2020-09-03 00:00:00+00:00,323.62,336.55,321.27,911,334.78,89220,324.61,0.0,0.0
2020-09-04 00:00:00+00:00,322.74,327.51,318.47,561,325.64,49731,323.23,0.0,0.0
2020-09-08 00:00:00+00:00,318.39,322.77,317.13,454,318.25,28489,319.36,0.0,0.0
2020-09-09 00:00:00+00:00,323.35,326.23,319.75,512,320.27,20950,323.43,0.0,0.0
2020-09-10 00:00:00+00:00,317.5,324.97,317.13,436,323.79,24619,319.8,0.0,0.0
2020-09-11 00:00:00+00:00,326.46,327.0,319.54,505,319.54,35762,324.85,0.0,0.0
2020-09-14 00:00:00+00:00,329.82,332.0,328.84,506,328.89,22680,330.26,0.0,0.0
2020-09-15 00:00:00+00:00,328.79,331.47,325.53,471,331.11,20464,327.72,0.0,0.0
2020-09-16 00:00:00+00:00,331.02,334.47,327.71,530,327.82,21468,332.14,0.0,0.0
2020-09-17 00:00:00+00:00,331.29,333.7,328.17,551,328.17,35294,331.8,0.0,0.0
2020-09-18 00:00:00+00:00,331.32,334.23,330.71,365,331.48,20762,332.67,0.0,0.0
2020-09-21 00:00:00+00:00,318.09,325.32,316.27,890,325.26,49103,318.83,0.0,0.0
2020-09-22 00:00:00+00:00,325.37,328.79,319.88,702,320.12,38430,324.9,0.0,0.0
2020-09-23 00:00:00+00:00,321.13,330.34,320.33,779,326.46,31513,327.08,0.0,0.0
