publishedAt,Title,description,url,source
2026-08-31 10:07:23+00:00,Two Sigma Securities LLC Grows Stock Position in Lam Research Corporation $LRCX - MarketBeat,Two Sigma Securities LLC Grows Stock Position in Lam Research Corporation $LRCX - MarketBeat,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQSjQxX0JvVmVJSWlGSUZpbkxfdDk3VWRybGdjMjByblg1ang1WVgtTERDSmFIV3cwQTNlcmlfUzJmcjNzNkpPY2RuMmJ3al82RUJwZ3dSZ2NzT3BSTkdiM3pZcTg2Qy0wNmIwUk9LWVlkSTRCMWJRbTF1TUtHOFJlQjhLLUxpRWloYm1IMnJxZENNOHJ0QlpLcFZDSTZxVm5jbjV3MmdyMkxlMV9iRWFzakRfVHlwVDZFbGJkWFFHXzBFNFZrNWczV0tmcFBlTmI0TnZ1WC1R?oc=5,{'name': 'MarketBeat'}
2026-08-31 15:25:37+00:00,"Lam Research (NASDAQ: LRCX) officer proposes 5,000-share sale from 2026 vesting - Stock Titan","Lam Research (NASDAQ: LRCX) officer proposes 5,000-share sale from 2026 vesting - Stock Titan",https://news.google.com/rss/articles/CBMimgFBVV95cUxNQjZIbTZyRWFtRlNfOU0zOGRZN2FPSm9PaUVHR2R0TDVxQUpqYjE3YlZxcDBja193TURxQndVLUg4b1hIay05SkJLMzY4T0lpeHpFZWpkRmhtWmljVjJNMVVhcmM4WnJFeW5OZ2JWQWRwRkNlYzlGNXBVT2xNV2tENFpjUXBnSGpTSGY4cVRCNjhDWUhydGZFZ1Rn?oc=5,{'name': 'Stock Titan'}
2026-08-30 15:40:47+00:00,"Top After-Hours Gainers Today Beyond Micron: QCOM, AMAT, LRCX Surge - Stocktwits","Top After-Hours Gainers Today Beyond Micron: QCOM, AMAT, LRCX Surge - Stocktwits",https://news.google.com/rss/articles/CBMixwFBVV95cUxPOGFLWk5MLTNnZnZhU0l6TWtOdTdvT0RVU0JwcFlfdXd0UnpaVnUwSk1oX2FvcGFZUml2Wkl5Q0VCMGt6WU1HUnBrMjhFMVcxc1FfcnhyZXZzU3RwemJJTUVDRDIycUJBLUk2MktRU1FYV3pxa1c3M0lIVjQ1SWR6bjEtUk90bWdNeGJoMmRiNlhEWmpFRVg0RUd0TlRCcENuR1Zmd1V3eVdncXh2RFE0SzNrNmh1cXQzN2lBcWw2ZWVzYlJHVmdB?oc=5,{'name': 'Stocktwits'}
2026-08-28 16:15:32+00:00,Lam Research Corp Stock (LRCX) Moved Down by 3.84% on Aug 28: Drivers Behind the Movement - TradingKey,Lam Research Corp Stock (LRCX) Moved Down by 3.84% on Aug 28: Drivers Behind the Movement - TradingKey,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQcnltRWlSVExWNG5nRTBwZ3pwSjBxejlhdXF1VHh3eGRwSkZuZjdQY2RrOWFCeG1IRUpHMDJzdE9pR3RJS1pMTWxSdV9WZldWTm1hdkJONzNnU2VmSXZfNnFhcHA3VEx6OUUzRUlmQUVWR2NpWEJBQ0ZPc1h1Y0xjS01JSWE1TDZkc0VF?oc=5,{'name': 'TradingKey'}
2026-08-19 07:00:00+00:00,Why Lam Research (LRCX) Stock Is Down Today - Quiver Quantitative,Why Lam Research (LRCX) Stock Is Down Today - Quiver Quantitative,https://news.google.com/rss/articles/CBMihwFBVV95cUxOa3M3OWV4OXhxV2Q0dTc4eFZROHhUQl9yN3RGM1lsUkl6NGVoUF9SOGR3NUZTVzF2S3FWM0FaS3B6dmdxQmx2aDVJbUFqMGt1Y01NemtiWHRIc0hGR1B4Q2Rsb180dFZwdVNsc0MzdVZxeTZlTEc4TlRFLWpyNjNIMFZFZk1UQ3M?oc=5,{'name': 'Quiver Quantitative'}
2026-08-17 07:00:00+00:00,Lam Research (LRCX) Stock Looks Fully Valued After Its 499% Run - Yahoo Finance,Lam Research (LRCX) Stock Looks Fully Valued After Its 499% Run - Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxPZFpKY3oyM0thMVptaTRxM1VzSHVmM1dkLXNDRGJkTld3alVtc3Byb2RMcVg2T3dXclpWWDNOTzd6VE5rMWlJMU9mRVhiMlN1Y1ZPdW5vYjJyWmdmWWhKNjdMR2tKUlBuTGY0MDl4T2JDMXVXaXBLV1pGbFc3X3Y4M2tIUHh2TG1JbC15Rno5UmdkMzNsWEN3R19n?oc=5,{'name': 'Yahoo Finance'}
2026-07-30 07:00:00+00:00,"Lam Research (LRCX) Stock Trades Up, Here Is Why - stockstory.org","Lam Research (LRCX) Stock Trades Up, Here Is Why - stockstory.org",https://news.google.com/rss/articles/CBMirgFBVV95cUxNamZrQkpfZnZNZTRJeFEzMVZNQlJIM3JJc2R6bjhCNFJSR2VucW9oeXhYN21KWUk4b1NwY3U1TDFHU19WeVVrS1czd0dYekY0WjBET3lhT20yMHZONk9tM3Yya0tFVkZnQ3htNU5BRW10TXlaMnhRa01KZ2tMYzNjbTBiRzY2QXQxYzZjcUgtal9DX0FOdGlpcU9EYzBOd1NQRmxlYWl1NUlrZFJzNFE?oc=5,{'name': 'stockstory.org'}
2026-08-28 21:25:54+00:00,Lam Research (NASDAQ:LRCX) Stock Price Down 5.2% - Time to Sell? - MarketBeat,Lam Research (NASDAQ:LRCX) Stock Price Down 5.2% - Time to Sell? - MarketBeat,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQcF9fY3ZocHpWUm04TUFqbTBYRV9yVjl6dVFmODJzNk8xUGh3RTJkX0JDWHR6QTBRaUo2MnNZeFhYZnZEQm9hTzFJWTFPcjhXWUN4OGlvdlhqdk5aWWVkaF9zWWZ4U2tEeDllWVRHYzJVT3V5Q3NxcFFYVnIxSzVFS2Vkak9nY0NYUk1tTDkta3hoOHR5MzY3N2lpZmZNblZOME1wTkw1VmhiM0FPbTJZT0x2Y2k1T0Vw?oc=5,{'name': 'MarketBeat'}
2026-08-28 16:19:00+00:00,Lam Research Slides as China Trade Risk Appears to Outweigh Dividend Hike - Quiver Quantitative,Lam Research Slides as China Trade Risk Appears to Outweigh Dividend Hike - Quiver Quantitative,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNaHlhdkdiaU05Q1pLUXJLYTU3R1lyZVpxbzh5TmR6cV9ZaGdzZG1zYl9kODJNS2pETlhZbjFaWHhtV1d5ZkFwTXBfcEItNV9UWTlIN09IUUFQako2XzE0T1FKQjNnbnNpQmxVTUlaaUREczhXdE5idWRnZXZ0V3V2a1kxVjRVRzZMRFhQdV9uWmhDM284RTRuTTlHZFFZZFF3YWd3dU1TN0lKQQ?oc=5,{'name': 'Quiver Quantitative'}
2026-08-31 10:07:20+00:00,Moore Capital Management LP Has $67.39 Million Holdings in Lam Research Corporation $LRCX - MarketBeat,Moore Capital Management LP Has $67.39 Million Holdings in Lam Research Corporation $LRCX - MarketBeat,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOc3E0VzZMMkZxV3hpenJUVm5YTkYwcjN0bmdTdGFiN2RsQ1cxbjQyTTc4ck0tSk1mcDlwaEV4cHFwYkE2WFBtb3dKMWlUb1BhVnVFNFNkY0xNbWRZTmxkNWhUemJsVDN4S1BDTjFvbkhyTS1xUkIyNHpTMFBmNHMwUHdDUFFiR3JxUS1tWnFDcW1jTGhIZlFYMnVTUGdFWS1aUDNLNVhLRk90WWU3RmVlYWZRcmthbGZpdHFIaGFGNDN5QTdlcEY3M1QyX0pSN0lOc292T2hTbHFOakhCamFHVw?oc=5,{'name': 'MarketBeat'}
2026-08-30 07:24:26+00:00,Lam Research Corporation $LRCX Position Trimmed by Benjamin Edwards Inc. - MarketBeat,Lam Research Corporation $LRCX Position Trimmed by Benjamin Edwards Inc. - MarketBeat,https://news.google.com/rss/articles/CBMiywFBVV95cUxOQXpZMFowZkdBblk5UjFKcUF0bHYtRGdFTjJ0UkFqMlhKUzNiUk55UExpbThzSTZXUzhHSzFfSjF1WlpTd2JXdHFwVlIyZlAxYmIxd28xcE51RURqUThBNnpXb1BnYzZHbzRPMnBWVzFobzk2enFXU0VYYnAySjM3VkcybjlzSURaWVZDTU01NmdCMU1kVUVObGQ2WlhWc0FGZ0dUT3lYOXR0SlBONjJDS0xiWGZkcmtVUWMyTDhQU04yZWJCR29hYXE3WQ?oc=5,{'name': 'MarketBeat'}
