publishedAt,Title,description,url,source
2026-08-28 16:30:47+00:00,Netflix Stock Price Prediction: The Road Back to $100 - Yahoo Finance,Netflix Stock Price Prediction: The Road Back to $100 - Yahoo Finance,https://news.google.com/rss/articles/CBMiogFBVV95cUxQc0NSeC1jeUZST3lud0laekNHeGhLQUJtNWlDZzFqbzc1TE40NlVld0FmRFRSUnNZU3M4NVVxVndoYVk4d2ZXeVhScUhsWkE0TzV6UVFQdjRXV3FNb2s3Zi13S1ZmMzEySHYzR1Vncy1sbGdFUkl4cTN5ZzRDRUtNdl9sMFNlRmlDN0VrWl9FV2tmX0JUZWNlWld4T1k0NXVTQVE?oc=5,{'name': 'Yahoo Finance'}
2026-09-01 20:14:08+00:00,Reed Hastings plans fresh Netflix (NASDAQ: NFLX) stock sale after cashing in options - Stock Titan,Reed Hastings plans fresh Netflix (NASDAQ: NFLX) stock sale after cashing in options - Stock Titan,https://news.google.com/rss/articles/CBMikgFBVV95cUxPVEo1Q0FVTjNMZ2wxS2FwWGRhNkxCUmItZDgxaGx5Q3FSRWhidnAwcE1NZlZLNnhJTmZlSTA4cUFvM21HSWJ0angxSzByR3RBSUFqdUh1am53RFhHSDBEM2VIcHVIMkVpZGdSZG9hZm5RX0ZXUjB3V0tyR2ZndUpCTXYxRkFYQ21TZVBXb2xqanJqdw?oc=5,{'name': 'Stock Titan'}
2026-08-28 19:56:38+00:00,Netflix Stock Is Up 25% From Its 2026 Lows. More Gains for NFLX Could Be in Store. - Barchart.com,Netflix Stock Is Up 25% From Its 2026 Lows. More Gains for NFLX Could Be in Store. - Barchart.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPR3dQamp0NzVJWW5TZmlNcThNMkxJa08tZXhZNld0cExnbHNqbW45MFJFbTlJZnFUd0NwYUhMR3VHYkQ2SS1COWNDTll6MTd0Q2YtRjlqR3pCUTdiam1ZV3dpUFZlME0yTkFhRjNhNHAxelJmUmhlRmtBYWNnanpScjBQRVc1SGF3dU10X0VyZzhORmhCelA0N3R4U0h6VDBwUGZ2U1FLT3lfNXhFc3VNeHAtQlVlVVZHZVhTeGhkdGQ?oc=5,{'name': 'Barchart.com'}
2026-09-01 10:23:11+00:00,"Proficio Capital Partners LLC Boosts Stock Holdings in Netflix, Inc. $NFLX - MarketBeat","Proficio Capital Partners LLC Boosts Stock Holdings in Netflix, Inc. $NFLX - MarketBeat",https://news.google.com/rss/articles/CBMizAFBVV95cUxQYVJfYTdmUFBfbFdPd2RGMGpQdEM1UGowSTFRamVueXd0MHVDQ0JQOE9FZV9TbE5DMnVzdGFJbUhtbEI2bmd5cm5ORVRUVU9rYUZQR3gzM2xaWTA4QjMxbFdsMG1zQnYyaktRYjNBdU05SHg3UGZ1c190NUZxNDhtdTd5UjRPUm9Zal9OSW90WGNha1V2b1drRW1UUF9DMm9pNFY4NG1hcmFkaDc1elM2eGlFdnFfX2dqMjhwLU4ydXNhYmhrWW56MXp5aGE?oc=5,{'name': 'MarketBeat'}
2026-08-27 17:34:00+00:00,Netflix Stock (NFLX) Opinions on Ad Monetization and Market Resistance - Quiver Quantitative,Netflix Stock (NFLX) Opinions on Ad Monetization and Market Resistance - Quiver Quantitative,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOS3IycWhtYWVoaURXUFVWUW16T3R0RlFzVmlFdXI5S1YyTk9mMGhNODVVeVk1amxZVDFVaXNtY3N1clpiUVV5amlDT2FNUVpEVjdya3ZUX3Q3d29oQ1ZDOTZyb1BidHdvWXEtTHdrMzJ5MGgxa0xERmM2YV91NjBuM2xERmt4YzJRTEg5ODdqQm54UDY0OHVGb3U5QmFoSnhyUHBCUGZrNTc2MG8?oc=5,{'name': 'Quiver Quantitative'}
2026-08-27 21:45:02+00:00,Netflix (NFLX) Stock Falls Amid Market Uptick: What Investors Need to Know - Yahoo Finance,Netflix (NFLX) Stock Falls Amid Market Uptick: What Investors Need to Know - Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxQZzhLemJvQlZXeG44S25nbWJ6VmJ2UFp2Nm5vUWJINjQ0a2xRdlBxaS1oNE9zSEZNS08zNWhKTWZkTUtuZk5ySm5wUG5NSHh2NFlROXczQ3loZHVnR1M1MXR3ancxRHZIYm9ITmJhYjE5bG9UNG1adUVNSjBQaTFDYzhBVXNiVXJSWFlycmNFWlFNNnIydkdrYjFn?oc=5,{'name': 'Yahoo Finance'}
2026-07-13 07:00:00+00:00,"Going Into Earnings, Is Netflix Stock a Buy, a Sell, or Fairly Valued? - Morningstar","Going Into Earnings, Is Netflix Stock a Buy, a Sell, or Fairly Valued? - Morningstar",https://news.google.com/rss/articles/CBMirAFBVV95cUxOWE9qbjQ1WHQtbWNwUmZDNWZ2N3g3YVduS0VzaUt4akVnMHdoOVpsZzhMNEhLRFJITkwtelF1THFjbWUyM0M5TWNCT05CeVdMUkpOT2pyUDJJMnpxVGNDVWVLeVNPd1NDSmVKNktQakdqZVhISlBiU0R5eU12RG1KcVhfeS1lNG1ZdzJER0VCeDl2Q0JZQnFGMEtFU2ZSX0tlaHNTQloxS1VCVnBW?oc=5,{'name': 'Morningstar'}
2026-08-26 19:49:54+00:00,"Dear Netflix Stock Fans, Mark Your Calendars for August 27 - Barchart.com","Dear Netflix Stock Fans, Mark Your Calendars for August 27 - Barchart.com",https://news.google.com/rss/articles/CBMiowFBVV95cUxNMTFSNV9Pd1gwZG5IZHYxVzRYbnVRb29VY3IyM2NsUzl5djhPaTByRjVadlVjbnNCS1UtckV1dmFMOXIyRWh2ZV90ZlU1RnNXb0dZd2RhSFFmSVRtWnpGTnVMTTZJSWpyejBFRDAwelZBYURLRmpGdjltczNiN0NNUjJMM2xvSXJSMnA0SnVXT0VjTkFkTEdDdnltWTZ0UGhlNkJB?oc=5,{'name': 'Barchart.com'}
2026-08-30 08:40:40+00:00,"Netflix, Inc. $NFLX Position Increased by GTS Securities LLC - MarketBeat","Netflix, Inc. $NFLX Position Increased by GTS Securities LLC - MarketBeat",https://news.google.com/rss/articles/CBMiugFBVV95cUxQZTdLM1paRW9LeEFvbWFqNFVxMVl3eHRBRHdTY2ozRnRfeEQ1QWFwZjFoZ3RpcVA5Tlk1OTV5aHRBbkk4ZTBUeHdmNDdNOUtYaTRqbTdNcjlLc1lMZGxhc0U4UGxEc3JUVDZ0ckM2RVJNTDIzU2s2bjRwUTlsVGNNMWQxdGExS2luMC1MZ1FPM1ZMNkE3RTVZaFU5TVI1ZEhsX3o4bUZVTEtpd3oxLVEyWmJ3OHBuaUhQM2c?oc=5,{'name': 'MarketBeat'}
2026-08-30 18:07:31+00:00,Is Netflix Stock Underperforming the S&P 500? - Barchart.com,Is Netflix Stock Underperforming the S&P 500? - Barchart.com,https://news.google.com/rss/articles/CBMikgFBVV95cUxOaXJxZkVNdGlqV25PSTczWnpFV0RXZ2FHYXJmSmIxZEI0MUNGaXIyZS1fUDd1a2tpSDlycnkzaFNQMTd2ZFZwU3JFbW5yQTBlbVdhZ3diYU9Md0lzRHM3R2lqcTlRSC1UT0NVSnFFbS1IVHcyRWU1NXROeXhDZVhOQ193SnR3U2dybTVEZ2dnTGwydw?oc=5,{'name': 'Barchart.com'}
