publishedAt,Title,description,url,source
2026-08-18 07:00:00+00:00,Procter & Gamble (PG) Stock May Trade At A Discount After Thorne Deal - Yahoo Finance,Procter & Gamble (PG) Stock May Trade At A Discount After Thorne Deal - Yahoo Finance,https://news.google.com/rss/articles/CBMilwFBVV95cUxNQ05SRjZ1OVBsN25iRVVsaEh3M0h0WG92czBSRXN1NXI2cUJLZENuUmV2dWN0X21YX2tnSm1ycE9yMFZKbi13b3R1VTVCa01YSUR1b3BiWm10RTZ2bFE1cHBSOWFlZ1lSempQTjY3ZVNqU3pyN1hQdVF5eEp4NGs5ekx3S0hkNnJ4NVppMnVWWWE4d3VMbE1Z?oc=5,{'name': 'Yahoo Finance'}
2026-09-01 07:56:26+00:00,"Field & Main Bank Purchases Shares of 27,127 Procter & Gamble Company (The) $PG - MarketBeat","Field & Main Bank Purchases Shares of 27,127 Procter & Gamble Company (The) $PG - MarketBeat",https://news.google.com/rss/articles/CBMizAFBVV95cUxPVFBubnRtT2Zqb1NHT004ZUxzOFl1em9uQnROR3RvVkZjanhJM2x1bkU2UWJjVG1GY2dqRW9uXzc0eDlhN0xLMDViT2M1NFZOMHNTV0ZHalZaTFJZQVJtTjVsVG1FQTlZRzZYNGhaV3haTDZvNU1uMjJVWVZtNWJpV3lWenJjeTdmZkZlQ0lfSDBET3pQR0tIaU96VC1ZcVNmbUhkRGh6WEJLSURTdVl5Tl9uc3YyUlNyQ2tFbnU5UnJISEphUFktYXlGZzI?oc=5,{'name': 'MarketBeat'}
2026-08-30 09:26:55+00:00,"11,876 Shares in Procter & Gamble Company (The) $PG Acquired by Palogic Value Management L.P. - MarketBeat","11,876 Shares in Procter & Gamble Company (The) $PG Acquired by Palogic Value Management L.P. - MarketBeat",https://news.google.com/rss/articles/CBMi3wFBVV95cUxQTC1ab3B4ZDVsNnEyc0d2UEM5TTBDS0xLdHFKWVZmVmxMY0x6bm1td3JqZnJpZExRQ1M3WEFoR2dla2R3SWo1T2d2MTdFMFVPUmtGWTcycFRzRFpVNkJERlo4M2NPMEF3TkJGSExWOHk4bmdwVEQ2Q2YwTmd0cHVMdGpQUlVRaUV6dXh6cnB0dEpsTWtuVEJSbnBTYklISExQcXZfOW5hX2V5NFdJRllJLVpUNGFjVk5LNTNZb1VJNkQ2Xy0wN1ZzMUdIVFU1Mk56TTRFLWV2aWhnY1RCQWNr?oc=5,{'name': 'MarketBeat'}
2026-04-08 07:00:00+00:00,Why Procter & Gamble (PG) Outpaced the Stock Market Today - Yahoo Finance,Why Procter & Gamble (PG) Outpaced the Stock Market Today - Yahoo Finance,https://news.google.com/rss/articles/CBMimwFBVV95cUxQM3ZiNTVTaFBWV0loSFRBdTh6SFM1VEhtYndHdGIzY1B2VlhBeXV1UUtZU2ZxRnMyOFhJeEtCQi1mYm5MX3NOcW04d3NJRzZQMHN3Q1FhM3picnBVUXBvM0lBWDZBeU1sOXYzZFE4X1FpZHpUM1RUN2hnVUt6OG8wSkFweWFtYkgzNDZrLWJmVjFENjREN3JaSDJKOA?oc=5,{'name': 'Yahoo Finance'}
2026-08-31 09:31:06+00:00,Procter & Gamble Company (The) $PG Shares Sold by Wellington Management Group LLP - MarketBeat,Procter & Gamble Company (The) $PG Shares Sold by Wellington Management Group LLP - MarketBeat,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOeXNDTzNjbDhFeWcyOTJjdlFRQjBJdmdzSmNGUHFuZ3RNdVV0bzJYWTRDOFFBX1NxUThQbnFPUkJ2YU9SVldHS3ZUcWVFMVZoakxobThrdUxsYzZqU0ROeS1vM3JObVRkQzZvam1sQklYbG9WOW8wdWJ3a2VVZ1RGa3h4bkRJWUJvc2hRRXBkbzJ6QTVUTHBIRXdscktaRVZZUHBlSEFEUENfZTJWbGV0dTllbGkwQ01PZE5rT19JMDRDVHhBWkJGdlBiYW44d3NRQlQ4?oc=5,{'name': 'MarketBeat'}
2026-06-30 07:00:00+00:00,Procter & Gamble (PG) Stock May Be 21% Undervalued Following Its 70th Dividend Increase - Yahoo Finance,Procter & Gamble (PG) Stock May Be 21% Undervalued Following Its 70th Dividend Increase - Yahoo Finance,https://news.google.com/rss/articles/CBMilwFBVV95cUxOSVdfalM5TjdwTVpodmRoZ191T1lpV29rSDZUakItaVZERHZrYWw4ZE51MDVNbUoyLUoybHlBdFVfOGdiTWVxVXIwa2QwVXMtTFJtUExtWnFWWHQ4eWVqaUV0YWFzN1c3NEZzWDdORnFjZmNxM0tUOVlPTklTNGIzVG5DanN4T1U2b1B1V1FXUVJmalE3Rlhj?oc=5,{'name': 'Yahoo Finance'}
2026-08-28 08:35:07+00:00,Procter & Gamble Company (The) $PG Stock Position Increased by Cibc World Market Inc. - MarketBeat,Procter & Gamble Company (The) $PG Stock Position Increased by Cibc World Market Inc. - MarketBeat,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOSU51VXplRU1Kb0c3ckRlbUtqdE12M0FUc3pVT251NHZtR0ZwelRQdTJSRXZ1TTNyWXpHc09hb1BOeHMxUjRDdmRYNTFKYWlkRjZ2YTZkMURBY1VrMi1JUTJTdVlHRzZXaFhJNkRwNkZFRlp0MXQ1TjhVR21hUzJEU3N0OTQ2QUEtbzF1T21FRTltTmRNcVpwb1JJdVBpczFsT1VZQVJvUHVEd2hDS0Y3NXluZWR4QzJGdGZQY2tGSUpZUFJzcUh6QzVhdGlOWF9rZVE1QXc3UQ?oc=5,{'name': 'MarketBeat'}
2026-09-01 09:31:06+00:00,Royal London Asset Management Ltd. Boosts Stake in Procter & Gamble Company (The) $PG - MarketBeat,Royal London Asset Management Ltd. Boosts Stake in Procter & Gamble Company (The) $PG - MarketBeat,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOWHJlRjlHV3dUdEFlNXB3TEtYbk1VWmJvLVZRTDlnd1hLR09HbUFJRUx2U08xa3JLa0puT2RtTDNIYjhuN0RlMHdzRzdNbUpRa05RS2M4cGZxRnk2a3ZMMl9LeVJxTE93R0VIcnRTbHpIY01hS1U5YWRyYmdhd2w4ZFZHTjFkMWJidTZRMkx0Z3NBa3hUUE5KZGw2QjUwZ1BqMFp3YkY0VGxKaVhPQjNTWHBzSlRUVGxUWTJOSWZtOVlmSnI1NGxuRnNrWlIyUTUwblRaQ1NDTQ?oc=5,{'name': 'MarketBeat'}
2026-09-01 07:30:17+00:00,BNP Paribas Decreases Stake in Procter & Gamble Company (The) $PG - MarketBeat,BNP Paribas Decreases Stake in Procter & Gamble Company (The) $PG - MarketBeat,https://news.google.com/rss/articles/CBMivgFBVV95cUxPWW1Ickc3VEZsZWVfLUpqeWRZTlZNRmFSNGplWmxaOWRyby1tWkJ4UTRGWnUxTzZPZWZjaVFwQ0hBNm1WeXA5d3NmT2dJUGRISUt2WVlpcnpDQVBZelIwWnVUTlVCUUVhazdrU1ZUTDM2YXI1TVl3eTNSV05udlcxYzBwMEhoaVItNS1LNnJyZVJCRmJCTDRYVnJSZWdPSXJLRXh0V0x5d2R5Z2JFcWZmZG9vSVFKS0hhdE51VTBn?oc=5,{'name': 'MarketBeat'}
2026-09-01 09:31:07+00:00,New Mexico Educational Retirement Board Grows Holdings in Procter & Gamble Company (The) $PG - MarketBeat,New Mexico Educational Retirement Board Grows Holdings in Procter & Gamble Company (The) $PG - MarketBeat,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNMlQ5SThOa1VTem1IaWEtZFNTaHU4OVBZN3VjOXBxR2w0SFNSeFN6eUtUUWpnMFlzdFF4Vm9yd19vRUwwSlhPZ3Q4V3pCcjlNaGstNktJOHhybnk4aEd1bjg0U3Vnd05mSW5vQ3A4V0FKaWdLYzVpZW1pcGFaakgxbE02MEhKakFrX21RUEp5OVhXUGwtRVFpQjhHOFQ2TW53Qkc5UHRRX3l2Q29CaXA1cWl1dE5VdWZDbVhjRGVnQVpUa0s3V0llT2s3OENUUFRFOTI3X2lNeG5CU0NnYU9IRy1R?oc=5,{'name': 'MarketBeat'}
2026-09-01 09:26:55+00:00,Van ECK Associates Corp Reduces Position in Procter & Gamble Company (The) $PG - MarketBeat,Van ECK Associates Corp Reduces Position in Procter & Gamble Company (The) $PG - MarketBeat,https://news.google.com/rss/articles/CBMizwFBVV95cUxNblk3ZlhsVks5b25kYmFJcTdxNGNydEJNb3ZzN0xWbEN4ai1hQkhWNk04UVdFNVozT256VS10akNJQVJTcWd3NmZCdGZUa3U4TWtSMEU3Z2VDOUtERHpHN2hBdDdhNVZJVEE3VjZqR1RDRkF1VHdLUUtweVRqQkJnRnZwSnljWFJja0h6bFZzeGo4Yy11aHFUSXRPOXg2azU5Vk9FSUFPbFp5dWZrZy04ZkZIb0hwRXZMYTlERW1pNDkwMTJnZFdBU093SE40M3c?oc=5,{'name': 'MarketBeat'}
2026-09-01 07:56:26+00:00,"Ferguson Wellman Capital Management Inc. Sells 13,115 Shares of Procter & Gamble Company (The) $PG - MarketBeat","Ferguson Wellman Capital Management Inc. Sells 13,115 Shares of Procter & Gamble Company (The) $PG - MarketBeat",https://news.google.com/rss/articles/CBMi5wFBVV95cUxQRzB3bktjZmFCQTkwQ01LTXphejVRSE51OV9DSFFqWmxZWHJUWnV3TlhHRTlwQTQxcUw3dW9vM3Q2NFVnTmtYcjhjbFFrU0tDZGk5STB2T3h4RE1DbFR3U052ODNxeWVrMTBZbW5VRmdlaUxTZV9NWUltb0JtOWtDVWdkeGRHLTM4UDhQdHlMdHVkSlRUeG9JeEp6akZ5YUpVQUVaMnlDSmJGZE1aMnpSZDJuUEM4X0R1NmFrT24ySWR5dXAwV002UHdtcnlhRjRKTFRkN0dId2dNQjdDcDQ5Y094WTN6TVk?oc=5,{'name': 'MarketBeat'}
2026-08-28 07:33:51+00:00,Procter & Gamble Company (The) $PG Shares Acquired by Ally Financial Inc. - MarketBeat,Procter & Gamble Company (The) $PG Shares Acquired by Ally Financial Inc. - MarketBeat,https://news.google.com/rss/articles/CBMixwFBVV95cUxOS0RNdTJrZEtMLThVVTk4WGRJODcwYm1BNVlWV0VoUndKUkdKTmM1Q3J3aUJoN245VWNLeTJKTlh5OUJCOElRQmlTWkpRVk9VTjdYRkFSSVJQVExJT1BBbjROREJ1QkJmQlowbkl0Rk1hem92cTh3dnUybzBmS0UwSmtjSWhDYkkxUENGRjl4RXlFNzQyc0lVNzJmSmd6VzIzNkR1UW1jVTVQZUwzVTlPSUUzRFZ5VWVxWE1nM1Q4cXpLcmctVTBB?oc=5,{'name': 'MarketBeat'}
2026-08-29 10:00:46+00:00,"Legal & General Group Plc Sells 1,639,081 Shares of Procter & Gamble Company (The) $PG - MarketBeat","Legal & General Group Plc Sells 1,639,081 Shares of Procter & Gamble Company (The) $PG - MarketBeat",https://news.google.com/rss/articles/CBMi1AFBVV95cUxPeFdUanBueDkzRVNod2NyY3JZRUpXenRTY1F1akdrN3k4cC14TmhmZmU0OFdvVkJUUl9fVG82ZXFFc2o4TERPU1FmbWZCTEZfY1A1UGgyMGxYdGpMdEFnQ2ZUeTl4YmpGTjJZZjJBQXl1MmJfNFdVbjMzLU5NN2FoVDFfaDBOVDdQMVZQWU5KU2xlY2NWaXRsNHRaaGE2dDY5b29KWWNpam9BcEVMV0lCSEN1RlctSzJVV25fSGJUOVhMSFlXVUVDLW5KaDBmS3hnNktFYw?oc=5,{'name': 'MarketBeat'}
