publishedAt,Title,description,url,source
2026-09-03 01:05:00+00:00,Union Pacific (UNP) Stock Looks About Fairly Valued Today - Yahoo Finance,Union Pacific (UNP) Stock Looks About Fairly Valued Today - Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxPNl8tUW1Cc1N2YzBlVUJ6ZzYtUDFRd0lHSnZIak8xYkdVcHZjNmVsYmZTYnlKR1AyWHlvdXZnakNfV2lMbFEtdXpucTRuaExlXzRkcGx1WmtJRnE5VHppd0ZacEV5ZVQ0eG9kTllRYURPYTZzUXc2bUFib0FhTkNOVkp4ekFKT3ZYSmNkTmx3NW9kWHRpNGg3OGVB?oc=5,{'name': 'Yahoo Finance'}
2026-09-04 22:53:39+00:00,Union Pacific (NYSE: UNP) executive donates 431 shares - Stock Titan,Union Pacific (NYSE: UNP) executive donates 431 shares - Stock Titan,https://news.google.com/rss/articles/CBMisAFBVV95cUxPbHc4ekluNzZJUkEtWHNNSk5zQlBBYzdDMHljQjFFNkdQX1hZTWtDWnVNeWo1dTdOZzRadllPOFN0anB5cFBZUS1SR1VOZ3diVnpwVWhhTnNBOUR0UGk0YUVwV2l1UFFYSW1Na29PQm5lNnR4TnU3cmtnenViV3ZzNHVCVEt4ZVkwb2s4OVZGUG9jWGhoUTNVRTVlTnMxOERyR291STZQTmNpaXBuaDkyMw?oc=5,{'name': 'Stock Titan'}
2026-09-01 17:15:25+00:00,Union Pacific Corp Stock (UNP) Moved Down by 3.25% on Sep 1: Facts Behind the Movement - TradingKey,Union Pacific Corp Stock (UNP) Moved Down by 3.25% on Sep 1: Facts Behind the Movement - TradingKey,https://news.google.com/rss/articles/CBMiigFBVV95cUxQeHh4VXlONndhSXgxdENDRXJLd0xqOUF2YThMY3RpaXNVR2FXSzJzRXZwWWxSV0hELXhQOVdjVmpvY1hQZ0pROXAwRGhyVE05cno5MzFUYzljZHAyaUxTV0VCaF9kaFBiajJGNll0bFZmNjhjUUJhZmVidnkzclNwVVpXSmFtMkluRGc?oc=5,{'name': 'TradingKey'}
2026-09-04 21:45:21+00:00,$1000 Invested In Union Pacific 20 Years Ago Would Be Worth This Much Today - Benzinga,$1000 Invested In Union Pacific 20 Years Ago Would Be Worth This Much Today - Benzinga,https://news.google.com/rss/articles/CBMisAFBVV95cUxNLXFMQnFHX0RvcjBQM0xJcUc5RDFjZ2lxU3lnR3oySDdIZVd6b2RBLXBiM0dTa1VsYlE0R3ZoTGR1QllMMmN5VVlmMmZIekZRcW8teXFmTzRidGx0aVJjQUpLOXNwMjNFVEhkbHZyaElPZ29KdFdUOHJmMkZwbzNQYWx0TE5PcDlCMkRDclo4Q1M5SGlReDNvbmhrcUs2SzJ1U2M0STE5SjhTZXVYOGl4eQ?oc=5,{'name': 'Benzinga'}
2026-08-31 20:35:00+00:00,Union Pacific Corp. stock underperforms Monday when compared to competitors - MarketWatch,Union Pacific Corp. stock underperforms Monday when compared to competitors - MarketWatch,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOeUtpMUFaSm4wd2Fia2xuTUt1NVJxbXVBMTNvSGl3TjBkOXdUaE5DQUNnRFljVUNNWGZfdEtDLUQ0R0pkdFk1dGlVNVNLSlFybnZwZFhqeUtfT2lwTTNyUGtpbThsVlJlMWI5NVYyT0hHSEk4TlBUN2hxVWN1LXdwMzVWTGNkQmFBMWV4WWJ5U1haVkJadml6eUJ6S2dsVkp4clJQbVFaWDdKazR1ZXRhNjZweTFWemVWSUJfZ3plVEFaZzMzRVRkQ0I3cml2SUs5RHNjZUJWODlIUFZwd2hpRGc1bzB2LWc?oc=5,{'name': 'MarketWatch'}
2026-08-13 07:00:00+00:00,Union Pacific (UNP) Stock Looks Cheap On Earnings But Fair On Cash Flow - Yahoo Finance,Union Pacific (UNP) Stock Looks Cheap On Earnings But Fair On Cash Flow - Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxOM1NKNUpLZmdoYlRHcERjM0RGd2x5NXhJa2s5SzMzbTg5NzNBUGdZYlpOU1ZUYXcwRDdBNU16UFJEaXpEUURaRVlHRTZiS1ZwVGlQakVyT1IxVDdqWnpURkc1bzg1RUdFVXNISEZXa2piYm1FR3pwZXNXS0s3TElNTWw2eVFxbjlreXFOdGxoRTA1WjdGUmtMVFVB?oc=5,{'name': 'Yahoo Finance'}
2026-08-27 07:00:00+00:00,Union Pacific Stock Cleared a Regulatory Hurdle. Here’s What It Means For The UNP Stock. - tikr.com,Union Pacific Stock Cleared a Regulatory Hurdle. Here’s What It Means For The UNP Stock. - tikr.com,https://news.google.com/rss/articles/CBMisAFBVV95cUxPcjlET0d5N0w5NG9HbHJhemdlbi1mSEh3SUJkM20zdndvdm9feHoySjJkZzdnQ1VMMkFPdHZrY2p6eUZraUs3dFBIV2FrRDBFUGRjVjBvTjZWV1VkZlc5OW1RYkRPMFNSTklHRzdrY3hKYlpJMEhtaFQwdF9LTVJMeUZDOUhfN3dZOWlUYldoN1BWX1VMS2xGaldiTmJIcjdvc2V6Wlh4dHZ6UVFNOFRldw?oc=5,{'name': 'tikr.com'}
2026-09-02 10:07:46+00:00,Union Pacific stock slips below 300 dollars as merger scrutiny weighs - AD HOC NEWS,Union Pacific stock slips below 300 dollars as merger scrutiny weighs - AD HOC NEWS,https://news.google.com/rss/articles/CBMixwFBVV95cUxQSW1rWV9CSHptQlh1UUkyY0Zmb1RQLXF6d2ZPTzJYY3ZJTXlhWE5vUlBvTW9oS3pMcmR5MU5xVFRDS1BROEVKdzYtNmtNQlBxUk1GRm5UM095d1luZDZ1bjZQVkhBaFNTdVJvVkpYeGJCNXBHRUcxYXNrME9mZEp3eE94Vm05YUtKSjFzVFdXdE9lMC14Nmwtb3NPWEE5RDJwNXRLSVhjeFZHUVE5dEpmOTEwWHFLb3BBbHVSQThpb2ZSUXVWZndz?oc=5,{'name': 'AD HOC NEWS'}
2026-07-16 07:00:00+00:00,Why Union Pacific (UNP) Stock Is Up Today - Quiver Quantitative,Why Union Pacific (UNP) Stock Is Up Today - Quiver Quantitative,https://news.google.com/rss/articles/CBMihAFBVV95cUxPQmdyTDZfQWt1amtUcTJuWW5CcVdqVm4yUDJVc2Q2bWE5UnhQWU5ObTYyTzE2QXlmWjQ3OW9EaHdEcDljeExTQzFMcXFkclhQNnBtUVFnWVZLazE0VjlCbERmMUpob1JHVldmQWQ3Q2gyRzVKcVdwNzFSVHlKdGpyUjhFTGQ?oc=5,{'name': 'Quiver Quantitative'}
2026-09-02 16:51:00+00:00,What Is Putting Union Pacific Stock in Focus? (NYSE:UNP) - Kalkine Media,What Is Putting Union Pacific Stock in Focus? (NYSE:UNP) - Kalkine Media,https://news.google.com/rss/articles/CBMinAFBVV95cUxQaC1MXzBtY3lfN1E4Q2U1NC1VazdOU190V0ZEV1lwVllvMWRGVDJjUXNQVUNuVDVDd2I1ZnBpdWNQbXNPdktteHkxdUt0WlNFYVNMWURfeS1xVDItTC1GUTJ1ZDZGUUVEd1NpcmY0dFJEQjJPb3pNQ2R0SWl1ZlRhNTdaa200X2Y3QzNMbXpsaW9RSkxmYklESW95RjI?oc=5,{'name': 'Kalkine Media'}
