feature,importance
ma21,0.05246217
price_to_sma200,0.051482413
ma7,0.05139758
bollinger_upper,0.0469642
Close_FFD,0.04630942
ma_spread,0.045883685
rsi,0.04533449
return_1d,0.045256533
return_21d,0.044660747
atr,0.043950513
stochastic_oscillator,0.043832462
volatility_21d,0.043335516
return_5d,0.043108154
macd,0.04243319
vix_ma5,0.041732933
bollinger_lower,0.041125815
atr_ratio,0.04072269
rsi_slope,0.04059693
volume_ratio,0.03991383
vix_close,0.039385
vix_change_1d,0.039044764
sma200,0.037644867
mean_sentiment_score,0.033422112
positive,0.0
negative,0.0
neutral,0.0
