,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,95.45,94.95,,,,0.547945205479452,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,95.1,95.23,,,,0.547945205479452,10000.0,0.0,0.0,10000.0,0,0.0,10029.49
2020-07-29 00:00:00+00:00,95.96,96.5,,,,0.547945205479452,10000.0,0.0,0.0,10000.0,0,0.0,10163.244
2020-07-30 00:00:00+00:00,94.92,94.55,,,,0.547945205479452,10000.0,0.0,0.0,10000.0,0,0.0,9957.873
2020-07-31 00:00:00+00:00,94.54,96.32,,,,0.547945205479452,10000.0,0.0,0.0,10000.0,0,0.0,10144.287
2020-08-03 00:00:00+00:00,96.42,96.39,,,,0.547945205479452,10000.0,0.0,0.0,10000.0,0,0.0,10151.659
2020-08-04 00:00:00+00:00,96.19,96.29,,,,0.55,10000.0,0.0,0.0,10000.0,0,0.0,10141.128
2020-08-05 00:00:00+00:00,104.86,109.98,,,,0.55,10000.0,0.0,0.0,10000.0,0,0.0,11582.94
2020-08-06 00:00:00+00:00,109.54,106.71,,,,0.532258064516129,10000.0,0.0,0.0,10000.0,0,0.0,11238.549
2020-08-07 00:00:00+00:00,106.59,109.86,,,,0.532258064516129,10000.0,0.0,0.0,10000.0,0,0.0,11570.304
2020-08-10 00:00:00+00:00,110.63,111.58,,,,0.532258064516129,10000.0,0.0,0.0,10000.0,0,0.0,11751.453
2020-08-11 00:00:00+00:00,112.96,112.26,,,,0.547945205479452,10000.0,0.0,0.0,10000.0,0,0.0,11823.07
2020-08-12 00:00:00+00:00,114.49,111.89,,,,0.532258064516129,10000.0,0.0,0.0,10000.0,0,0.0,11784.102
2020-08-13 00:00:00+00:00,111.17,111.75,,79.908195,,0.547945205479452,10000.0,0.0,0.0,10000.0,0,0.0,11769.356
2020-08-14 00:00:00+00:00,111.24,112.28,,79.51511,3.212143,0.547945205479452,10000.0,0.0,0.0,10000.0,0,0.0,11825.175
2020-08-17 00:00:00+00:00,112.44,111.9,,79.88962,3.2464285,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,11785.154
2020-08-18 00:00:00+00:00,111.83,110.87,,78.65246,3.2821429,0.99,10000.0,0.0,0.0,10000.0,0,0.0,11676.677
2020-08-19 00:00:00+00:00,111.17,110.98,,74.90468,3.265,0.99,10000.0,0.0,0.0,10000.0,0,0.0,11688.261
2020-08-20 00:00:00+00:00,110.06,109.66,,80.41466,3.1678572,0.99,-5015.0,14992.503748125939,5000.0,4977.503748125939,1,106.08250427246094,11549.24
2020-08-21 00:00:00+00:00,109.55,108.31,,75.11295,3.1335714,0.99,-5015.992063492064,14807.933095334354,5000.0,4791.941031842291,0,106.08250427246094,11407.06
2020-08-24 00:00:00+00:00,109.34,110.95,,71.40804,3.1357143,0.99,-5016.984126984127,15168.868838682574,5000.0,5151.884711698447,0,106.08250427246094,11685.101
2020-08-25 00:00:00+00:00,110.69,110.35,,74.127716,3.257857,0.55,-5017.976190476191,15086.838474884671,5000.0,5068.86228440848,0,106.24642944335938,11621.91
2020-08-26 00:00:00+00:00,109.67,109.45,,51.069984,2.1807144,0.6666666666666666,-5018.968253968254,14963.79199512105,5000.0,4944.823741152795,0,106.24642944335938,11527.123
2020-08-27 00:00:00+00:00,109.51,111.07,,59.182304,2.0271428,0.547945205479452,-5019.960317460318,15185.275028026894,5000.0,5165.314710566576,0,106.24642944335938,11697.739
2020-08-28 00:00:00+00:00,111.91,110.87,,54.5183,1.98,0.547945205479452,-5020.952380952382,15157.931566597019,5000.0,5136.979185644637,0,108.02928161621094,11676.677
