,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-06 00:00:00+00:00,72.36,72.07,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-07 00:00:00+00:00,71.9,70.89,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9836.2705
2016-09-08 00:00:00+00:00,70.68,69.88,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9696.128
2016-09-09 00:00:00+00:00,69.36,66.83,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9272.929
2016-09-12 00:00:00+00:00,66.73,67.38,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9349.242
2016-09-13 00:00:00+00:00,66.57,66.58,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9238.24
2016-09-14 00:00:00+00:00,66.65,66.09,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9170.25
2016-09-15 00:00:00+00:00,66.05,66.85,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9275.704
2016-09-16 00:00:00+00:00,66.43,66.25,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9192.452
2016-09-19 00:00:00+00:00,66.25,67.37,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9347.856
2016-09-20 00:00:00+00:00,67.74,67.36,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9346.469
2016-09-21 00:00:00+00:00,67.71,67.88,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9418.62
2016-09-22 00:00:00+00:00,68.56,69.05,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9580.963
2016-09-23 00:00:00+00:00,69.05,68.67,,36.589714,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9528.235
2016-09-26 00:00:00+00:00,68.42,68.25,,35.39519,1.2678577,0.620246839473596,-5015.0,14992.503748125939,5000.0,4977.503748125939,1,,9469.959
2016-09-27 00:00:00+00:00,68.19,68.94,,34.16253,1.2578577,0.99,-5015.992063492064,15144.07648318175,5000.0,5128.084419689687,0,,9565.699
