feature,importance
atr_ratio,0.30713382
atr,0.1374923
rsi,0.038918946
volume_ratio,0.032534055
return_5d,0.032399386
return_1d,0.029608274
vix_close,0.029279606
vix_ma5,0.029150274
stochastic_oscillator,0.027871514
macd,0.026352849
ma21,0.025851494
price_to_sma200,0.025549913
Close_FFD,0.025523106
sma200,0.025168225
mean_sentiment_score,0.025149733
volatility_21d,0.025070978
bollinger_upper,0.023032028
bollinger_lower,0.022871885
vix_change_1d,0.022471137
ma7,0.022460999
rsi_slope,0.022305146
return_21d,0.0221364
ma_spread,0.021667995
positive,0.0
negative,0.0
neutral,0.0
