feature,importance
return_21d,0.04850075
sma200,0.048437484
volatility_21d,0.046251453
bollinger_lower,0.046157304
ma_spread,0.045919072
macd,0.045814477
atr,0.045266036
ma21,0.044799186
volume_ratio,0.044451978
return_5d,0.044274632
rsi,0.04422997
Close_FFD,0.04422706
atr_ratio,0.044164043
vix_ma5,0.043606434
stochastic_oscillator,0.0435091
return_1d,0.043021325
bollinger_upper,0.041245684
vix_close,0.04077144
price_to_sma200,0.040622097
ma7,0.03949684
mean_sentiment_score,0.03886694
vix_change_1d,0.038510855
rsi_slope,0.037855793
positive,0.0
negative,0.0
neutral,0.0
