feature,importance
Close_FFD,0.052731372
bollinger_lower,0.048153747
bollinger_upper,0.047973316
price_to_sma200,0.046945535
stochastic_oscillator,0.04643069
ma21,0.04547248
volume_ratio,0.04419763
vix_change_1d,0.043806866
vix_close,0.042495396
atr,0.041798994
rsi,0.04154374
return_21d,0.041411467
return_5d,0.041315664
rsi_slope,0.04122966
vix_ma5,0.041154243
return_1d,0.04094135
ma7,0.04049169
atr_ratio,0.040371917
volatility_21d,0.040114496
sma200,0.03968649
neutral,0.03913005
ma_spread,0.037123803
macd,0.03570185
mean_sentiment_score,0.019777523
negative,0.0
positive,0.0
