feature,importance
bollinger_upper,0.049793597
ma7,0.049073577
macd,0.046245426
vix_change_1d,0.045191333
return_5d,0.044976093
ma21,0.044408705
return_21d,0.04424348
Close_FFD,0.043988205
sma200,0.043816347
atr,0.043222286
bollinger_lower,0.04321641
price_to_sma200,0.042702213
volume_ratio,0.042155866
ma_spread,0.04179307
vix_ma5,0.041705336
rsi,0.04170281
volatility_21d,0.040896043
atr_ratio,0.04075264
return_1d,0.0399339
rsi_slope,0.039116386
stochastic_oscillator,0.038048692
vix_close,0.03800054
neutral,0.032986134
mean_sentiment_score,0.022030933
negative,0.0
positive,0.0
