feature,importance
Close_FFD,0.065842085
sma200,0.05320625
atr_ratio,0.050811224
atr,0.04951702
vix_change_1d,0.048187118
return_5d,0.04713899
price_to_sma200,0.04606292
ma21,0.045682814
bollinger_lower,0.045142837
vix_ma5,0.04306278
macd,0.04141235
vix_close,0.040946703
ma7,0.040729556
volume_ratio,0.040498585
return_21d,0.03998509
volatility_21d,0.03956378
stochastic_oscillator,0.03932826
rsi,0.03922636
return_1d,0.0388695
mean_sentiment_score,0.038576473
rsi_slope,0.037463993
ma_spread,0.034692362
bollinger_upper,0.034052957
positive,0.0
negative,0.0
neutral,0.0
