feature,importance
rsi,0.0553934
sma200,0.05181943
atr,0.04903668
return_1d,0.048514724
rsi_slope,0.048088603
bollinger_upper,0.047862493
ma7,0.04764942
vix_ma5,0.046561632
return_5d,0.04552551
atr_ratio,0.044551384
vix_change_1d,0.044420708
ma21,0.04419356
stochastic_oscillator,0.044074915
vix_close,0.04348039
ma_spread,0.042877
mean_sentiment_score,0.042280506
price_to_sma200,0.041507307
return_21d,0.040951315
volume_ratio,0.04008776
bollinger_lower,0.038840715
volatility_21d,0.03865279
macd,0.03522977
neutral,0.01839993
positive,0.0
negative,0.0
