,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,127.5,127.26,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,127.73,128.17,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10071.507
2020-07-29 00:00:00+00:00,129.65,130.54,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10257.739
2020-07-30 00:00:00+00:00,129.72,129.12,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10146.156
2020-07-31 00:00:00+00:00,129.02,129.79,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10198.804
2020-08-03 00:00:00+00:00,129.78,129.63,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10186.232
2020-08-04 00:00:00+00:00,129.37,130.1,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10223.165
2020-08-05 00:00:00+00:00,130.41,129.93,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10209.805
2020-08-06 00:00:00+00:00,129.66,129.62,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10185.445
2020-08-07 00:00:00+00:00,129.4,132.13,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10382.68
2020-08-10 00:00:00+00:00,131.86,131.53,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10335.531
2020-08-11 00:00:00+00:00,131.45,126.06,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9905.702
2020-08-12 00:00:00+00:00,126.86,129.14,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10147.727
2020-08-13 00:00:00+00:00,128.46,129.71,,55.18192,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10192.517
2020-08-14 00:00:00+00:00,129.05,128.66,,56.547302,2.4157143,0.99,-5015.0,14992.503748125939,5000.0,4977.503748125939,1,,10110.009
2020-08-17 00:00:00+00:00,128.71,129.66,,53.54251,2.395,0.99,-5015.992063492064,15109.032169096117,5000.0,5093.040105604054,0,,10188.588
2020-08-18 00:00:00+00:00,129.72,129.16,,53.753147,2.452143,0.99,-5016.984126984127,15050.768089153175,5000.0,5033.783962169047,0,,10149.298
2020-08-19 00:00:00+00:00,129.78,127.37,,46.162403,2.327143,0.99,-5017.976190476191,14842.182577114396,5000.0,4824.206386638205,0,,10008.641
2020-08-20 00:00:00+00:00,127.22,127.65,,45.23161,2.405,0.99,-5018.968253968254,14874.810718625427,5000.0,4855.842464657173,0,,10030.643
2020-08-21 00:00:00+00:00,127.64,127.13,,44.042316,2.307143,0.99,-5019.960317460318,14814.215507920359,5000.0,4794.2551904600405,0,,9989.781
2020-08-24 00:00:00+00:00,127.06,127.37,,43.176857,2.3335714,0.99,-5020.952380952382,14842.18352490231,5000.0,4821.231143949928,0,,10008.642
2020-08-25 00:00:00+00:00,126.98,127.1,,42.454395,2.3514285,0.8,-5021.944444444445,14810.720482579725,5000.0,4788.77603813528,0,,9987.425
2020-08-26 00:00:00+00:00,125.87,124.7,,42.221,2.2614286,0.99,-5022.936507936509,14531.052445904168,5000.0,4508.115937967659,0,,9798.834
2020-08-27 00:00:00+00:00,125.18,125.09,,37.869823,2.2885714,0.8,-5023.9285714285725,14576.497668868251,5000.0,4552.569097439678,0,,9829.479
2020-08-28 00:00:00+00:00,124.87,124.62,,30.61674,2.1935713,0.48936170212765956,-5024.920634920636,14521.73029226329,5000.0,4496.809657342654,0,,9792.547
2020-08-31 00:00:00+00:00,125.56,125.32,,30.837494,2.2607143,0.5882352941176471,-5025.9126984127,14603.299178262154,5000.0,4577.386479849454,0,,9847.552
2020-09-01 00:00:00+00:00,125.23,123.99,,47.209652,1.93,0.48936170212765956,-5026.904761904763,14448.316621449016,5000.0,4421.411859544252,0,,9743.041
2020-09-02 00:00:00+00:00,123.76,127.64,,27.628149,1.7878572,0.48936170212765956,-5027.896825396827,14873.644715389093,5000.0,4845.747889992266,0,,10029.856
2020-09-03 00:00:00+00:00,128.37,126.24,,42.9061,1.9807143,0.48936170212765956,-5028.8888888888905,14710.504822162398,5000.0,4681.615933273508,0,,9919.845
2020-09-04 00:00:00+00:00,126.43,126.73,,41.900936,2.1514285,0.5882352941176471,-5029.880952380954,14767.604730456413,5000.0,4737.7237780754585,0,,9958.35
2020-09-08 00:00:00+00:00,126.49,124.71,,39.847538,2.1292858,0.48936170212765956,-5030.873015873018,14532.217757467932,5000.0,4501.344741594914,0,,9799.619
2020-09-09 00:00:00+00:00,125.8,126.79,,36.050156,2.2628572,0.5882352941176471,-5031.865079365081,14774.596125686485,5000.0,4742.7310463214035,0,,9963.064
2020-09-10 00:00:00+00:00,126.14,124.6,,48.214287,2.317143,0.5882352941176471,-5032.857142857145,14519.39968025273,5000.0,4486.542537395586,0,,9790.976
2020-09-11 00:00:00+00:00,125.09,125.02,,41.597797,2.3821428,0.99,-5033.8492063492085,14568.341119089642,5000.0,4534.491912740434,0,,9823.979
2020-09-14 00:00:00+00:00,125.91,126.49,,44.155125,2.3414285,0.5882352941176471,-5034.841269841272,14739.636971505239,5000.0,4704.795701663967,0,,9939.49
2020-09-15 00:00:00+00:00,127.51,127.22,,47.717842,2.3935714,0.5882352941176471,-5035.833333333336,14824.703533764612,5000.0,4788.870200431276,0,,9996.854
2020-09-16 00:00:00+00:00,127.23,126.39,,50.30395,2.45,0.625,-5036.825396825399,14727.985009386355,5000.0,4691.159612560956,0,,9931.632
2020-09-17 00:00:00+00:00,125.62,124.81,,54.650524,2.4535713,0.48936170212765956,-5037.817460317463,14543.870448782938,5000.0,4506.052988465475,0,,9807.477
2020-09-18 00:00:00+00:00,124.62,122.54,,49.27686,2.4964285,0.5882352941176471,-5038.809523809527,14279.351738348458,5000.0,4240.542214538931,0,,9629.103
2020-09-21 00:00:00+00:00,121.62,123.49,,45.085068,2.5792856,0.48936170212765956,-5039.80158730159,14390.05295142219,5000.0,4350.251364120601,0,,9703.752
2020-09-22 00:00:00+00:00,123.95,123.88,,45.726295,2.6642857,0.5882352941176471,-5040.793650793654,14435.498069705114,5000.0,4394.70441891146,0,,9734.397
2020-09-23 00:00:00+00:00,124.57,122.25,,49.731316,2.625,0.625,-5041.785714285717,14245.55803019656,5000.0,4203.772315910843,0,,9606.313
2020-09-24 00:00:00+00:00,123.77,124.55,,35.392956,2.4842858,0.8,-5042.777777777781,14513.573498913147,5000.0,4470.795721135366,0,,9787.046
2020-09-25 00:00:00+00:00,124.92,127.69,,45.633076,2.432857,0.8,-5043.769841269845,14879.471400480445,5000.0,4835.7015592106,0,,10033.785
2020-09-28 00:00:00+00:00,128.34,127.91,,52.18182,2.5142858,0.48936170212765956,-5044.761904761908,14905.107715844226,5000.0,4860.345811082318,0,,10051.073
2020-09-29 00:00:00+00:00,127.57,127.25,,57.92079,2.475,0.99,-5045.753968253972,14828.198634513157,5000.0,4782.444666259185,0,,9999.21
2020-09-30 00:00:00+00:00,128.03,128.27,,51.22471,2.3114285,0.8,-5046.746031746035,14947.057794982129,5000.0,4900.311763236094,0,,10079.361
2020-10-01 00:00:00+00:00,128.95,131.62,,60.420216,2.3128572,0.48936170212765956,-5047.738095238099,15337.426049512329,5000.0,5289.68795427423,0,,10342.602
2020-10-02 00:00:00+00:00,130.51,131.86,,66.066216,2.4735715,0.48936170212765956,-5048.730158730163,15365.392700100048,5000.0,5316.662541369886,0,,10361.46
2020-10-05 00:00:00+00:00,132.14,134.49,,63.904713,2.4807143,0.5882352941176471,-5049.722222222226,15671.86134355371,5000.0,5622.139121331484,0,,10568.124
2020-10-06 00:00:00+00:00,134.26,135.09,,67.138145,2.585,0.48936170212765956,-5050.71428571429,15741.778037589378,5000.0,5691.063751875088,0,,10615.271
