feature,importance
sma200,0.054202393
volume_ratio,0.049752582
volatility_21d,0.04809063
Close_FFD,0.0477576
vix_ma5,0.045960244
bollinger_upper,0.04581265
bollinger_lower,0.045609586
atr,0.045432035
price_to_sma200,0.044830985
atr_ratio,0.04458389
rsi,0.044524297
rsi_slope,0.04338704
return_21d,0.043313254
vix_close,0.04329986
return_5d,0.042767007
macd,0.04273519
ma_spread,0.042274136
stochastic_oscillator,0.040420182
return_1d,0.039978486
ma21,0.03824057
ma7,0.03655206
neutral,0.035694283
vix_change_1d,0.03478097
mean_sentiment_score,0.0
negative,0.0
positive,0.0
