,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,36.61,37.41,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,37.63,37.07,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,9909.115
2020-07-29 00:00:00+00:00,37.98,37.6,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10050.788
2020-07-30 00:00:00+00:00,37.21,37.44,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10008.02
2020-07-31 00:00:00+00:00,37.12,36.12,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,9655.173
2020-08-03 00:00:00+00:00,36.27,36.61,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,9786.154
2020-08-04 00:00:00+00:00,35.98,36.85,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,9850.308
2020-08-05 00:00:00+00:00,37.12,37.3,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,9970.597
2020-08-06 00:00:00+00:00,37.29,37.17,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,9935.847
2020-08-07 00:00:00+00:00,37.01,37.78,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10098.904
2020-08-10 00:00:00+00:00,38.06,38.92,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10403.637
2020-08-11 00:00:00+00:00,39.42,38.87,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10390.272
2020-08-12 00:00:00+00:00,39.18,38.94,,,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10408.984
2020-08-13 00:00:00+00:00,38.91,38.66,,63.833633,,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10334.139
2020-08-14 00:00:00+00:00,38.4,38.65,,60.757317,0.97642857,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10331.466
2020-08-17 00:00:00+00:00,38.75,39.02,,60.65292,0.94,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10430.37
2020-08-18 00:00:00+00:00,38.9,38.79,,66.666664,0.9185714,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10368.89
2020-08-19 00:00:00+00:00,39.01,39.27,,60.720722,0.8142857,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10497.197
2020-08-20 00:00:00+00:00,38.96,38.65,,65.58774,0.8092857,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10331.466
2020-08-21 00:00:00+00:00,39.02,39.37,,74.46809,0.7457143,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10523.927
2020-08-24 00:00:00+00:00,39.87,39.3,,75.55556,0.7392857,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10505.216
2020-08-25 00:00:00+00:00,39.69,39.43,,73.42256,0.7228571,0.515695067264574,10000.0,0.0,0.0,10000.0,0,0.0,10539.967
2020-08-26 00:00:00+00:00,39.4,39.21,,71.69043,0.7557143,0.5757959948902962,10000.0,0.0,0.0,10000.0,0,0.0,10481.158
2020-08-27 00:00:00+00:00,39.31,38.9,,70.4,0.77,0.515695067264574,-10.0,9995.002498750626,0.0,9985.002498750626,1,38.0764274597168,10398.294
2020-08-28 00:00:00+00:00,39.01,39.26,,61.914894,0.7557143,0.515695067264574,-10.0,10087.500805261432,0.0,10077.500805261432,0,38.0764274597168,10494.524
2020-08-31 00:00:00+00:00,39.11,38.34,,54.336735,0.71428573,0.5833333333333334,-10.0,9851.115890947465,0.0,9841.115890947465,0,38.126426696777344,10248.602
2020-09-01 00:00:00+00:00,38.21,38.23,,44.46764,0.7214286,0.515695067264574,-10.0,9822.852354052502,0.0,9812.852354052502,0,38.126426696777344,10219.197
2020-09-02 00:00:00+00:00,38.27,39.08,,42.650105,0.73142856,0.5833333333333334,-10.0,10041.253289971672,0.0,10031.253289971672,0,38.126426696777344,10446.41
2020-09-03 00:00:00+00:00,39.33,38.45,,53.88889,0.77,0.5833333333333334,-10.0,9879.380339935604,0.0,9869.380339935604,0,38.126426696777344,10278.006
2020-09-04 00:00:00+00:00,38.77,39.06,,48.33887,0.825,0.515695067264574,-10.0,10036.114040423176,0.0,10026.114040423176,0,38.126426696777344,10441.063
2020-09-08 00:00:00+00:00,38.81,38.06,,50.31949,0.8442857,0.5833333333333334,-10.0,9779.173207861997,0.0,9769.173207861997,0,38.126426696777344,10173.756
2020-09-09 00:00:00+00:00,38.13,38.57,,44.807964,0.89285713,0.5833333333333334,-10.0,9910.212558324307,0.0,9900.212558324307,0,38.126426696777344,10310.082
2020-09-10 00:00:00+00:00,38.64,38.16,,45.042492,0.8971428,0.5833333333333334,-10.0,9804.866884281804,0.0,9794.866884281804,0,38.126426696777344,10200.486
2020-09-11 00:00:00+00:00,38.22,38.37,,46.42336,0.88785714,0.5833333333333334,-10.0,9858.824808510231,0.0,9848.824808510231,0,38.126426696777344,10256.622
2020-09-14 00:00:00+00:00,38.5,38.88,,42.113564,0.87,0.5833333333333334,-10.0,9989.865513633666,0.0,9979.865513633666,0,38.126426696777344,10392.949
2020-09-15 00:00:00+00:00,39.06,39.02,,46.902657,0.8585714,0.515695067264574,-10.0,10025.83737901405,0.0,10015.83737901405,0,38.126426696777344,10430.373
2020-09-16 00:00:00+00:00,39.03,39.03,,46.980854,0.86214286,0.5833333333333334,-10.0,10028.405805685972,0.0,10018.405805685972,0,38.126426696777344,10433.045
2020-09-17 00:00:00+00:00,38.53,39.78,,48.632217,0.85714287,0.579134579101847,-10.0,10221.111064275663,0.0,10211.111064275663,0,38.126426696777344,10633.524
2020-09-18 00:00:00+00:00,39.88,40.05,,56.267807,0.91642857,0.5833333333333334,-10.0,10290.484812525146,0.0,10280.484812525146,0,38.494285583496094,10705.697
2020-09-21 00:00:00+00:00,38.91,38.44,,55.699856,0.99214286,0.5833333333333334,-10.0,9876.809827536012,0.0,9866.809827536012,0,38.675357818603516,10275.33
2020-09-22 00:00:00+00:00,38.59,38.69,,50.656166,1.0621428,0.5833333333333334,9916.134079091173,0.0,0.0,9916.134079091173,-1,0.0,10342.158
2020-09-23 00:00:00+00:00,38.93,37.57,,52.963917,1.05,0.5833333333333334,-9.916134079090625,9911.17848984625,0.0,9901.26235576716,1,37.09678268432617,10042.773
2020-09-24 00:00:00+00:00,37.3,37.53,,40.59776,1.1157143,0.5833333333333334,-9.916134079090625,9900.625881990207,0.0,9890.709747911116,0,37.09678268432617,10032.08
2020-09-25 00:00:00+00:00,37.39,38.75,,43.817204,1.1214286,0.5833333333333334,-9.916134079090625,10222.469681701872,0.0,10212.553547622781,0,37.09678268432617,10358.197
2020-09-28 00:00:00+00:00,39.65,39.09,,48.074535,1.15,0.5833333333333334,-9.916134079090625,10312.163279970178,0.0,10302.247145891088,0,37.09678268432617,10449.082
2020-09-29 00:00:00+00:00,38.67,37.97,,56.968876,1.155,0.5833333333333334,-9.916134079090625,10016.701508947392,0.0,10006.785374868301,0,37.3650016784668,10149.697
2020-09-30 00:00:00+00:00,38.09,38.52,,46.25,1.1878572,0.5833333333333334,-9.916134079090625,10161.794640054746,0.0,10151.878505975656,0,37.3650016784668,10296.717
2020-10-01 00:00:00+00:00,38.68,38.52,,52.211304,1.1892858,0.5833333333333334,-9.916134079090625,10161.794640054746,0.0,10151.878505975656,0,37.3650016784668,10296.717
2020-10-02 00:00:00+00:00,38.02,38.98,,50.945774,1.1892858,0.5833333333333334,-9.916134079090625,10283.144663570863,0.0,10273.228529491773,0,37.3650016784668,10419.678
2020-10-05 00:00:00+00:00,39.37,39.72,,50.634518,1.2371428,0.5833333333333334,-9.916134079090625,10478.360697944345,0.0,10468.444563865254,0,37.3650016784668,10617.485
2020-10-06 00:00:00+00:00,40.18,40.0,,54.127357,1.2307143,0.5833333333333334,-9.916134079090625,10552.22603788063,0.0,10542.309903801539,0,37.864288330078125,10692.331
2020-10-07 00:00:00+00:00,40.47,41.25,,55.54286,1.2914286,0.5833333333333334,-9.916134079090625,10881.9831015644,0.0,10872.066967485309,0,38.153926849365234,11026.466
2020-10-08 00:00:00+00:00,41.53,41.2,,57.945946,1.2728572,0.5833333333333334,-9.916134079090625,10868.792831596282,0.0,10858.876697517191,0,39.31285858154297,11013.101
2020-10-09 00:00:00+00:00,41.51,42.46,,56.367664,1.19,0.5833333333333334,-9.916134079090625,11201.186905581983,0.0,11191.270771502892,0,39.31285858154297,11349.907
2020-10-12 00:00:00+00:00,42.65,43.22,,73.156685,1.1842858,0.515695067264574,11374.66137426128,0.0,0.0,11374.66137426128,-1,0.0,11553.0625
2020-10-13 00:00:00+00:00,42.87,42.82,,74.646355,1.2264286,0.5833333333333334,11374.66137426128,0.0,0.0,11374.66137426128,0,0.0,11446.139
2020-10-14 00:00:00+00:00,42.85,43.86,,80.99174,1.1664286,0.515695067264574,-11.37466137426054,11368.976885818372,0.0,11357.602224444112,1,40.9803581237793,11724.14
2020-10-15 00:00:00+00:00,43.24,45.56,,83.42133,1.1407143,0.5833333333333334,-11.37466137426054,11809.63511477066,0.0,11798.260453396399,0,42.11035919189453,12178.564
2020-10-16 00:00:00+00:00,45.75,45.87,,84.22111,1.2528571,0.5833333333333334,-11.37466137426054,11889.989154850464,0.0,11878.614493476203,0,43.84893035888672,12261.429
2020-10-19 00:00:00+00:00,46.45,45.92,,84.173386,1.2214285,0.5833333333333334,11873.720748354757,0.0,0.0,11873.720748354757,-1,0.0,12274.795
2020-10-20 00:00:00+00:00,46.18,46.29,,94.91525,1.2428571,0.515695067264574,11873.720748354757,0.0,0.0,11873.720748354757,0,0.0,12373.7
2020-10-21 00:00:00+00:00,46.23,46.3,,94.809685,1.2664286,0.5833333333333334,11873.720748354757,0.0,0.0,11873.720748354757,0,0.0,12376.373
2020-10-22 00:00:00+00:00,46.67,47.48,,94.81567,1.2907143,0.5833333333333334,11873.720748354757,0.0,0.0,11873.720748354757,0,0.0,12691.797
2020-10-23 00:00:00+00:00,47.94,47.08,,95.21277,1.3414285,0.5833333333333334,11873.720748354757,0.0,0.0,11873.720748354757,0,0.0,12584.873
