feature,importance
sma200,0.05438116
bollinger_lower,0.0534836
volume_ratio,0.052704856
vix_ma5,0.04834268
return_21d,0.048149217
stochastic_oscillator,0.047804397
macd,0.047238983
atr_ratio,0.046764996
vix_change_1d,0.046685144
vix_close,0.046276163
price_to_sma200,0.04538524
rsi,0.044684824
return_5d,0.04458176
ma21,0.04445595
bollinger_upper,0.04409583
return_1d,0.04387314
atr,0.043424778
rsi_slope,0.043270443
volatility_21d,0.04071481
ma_spread,0.040423393
ma7,0.039260846
Close_FFD,0.033997804
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
