feature,importance
Close_FFD,0.049303122
volume_ratio,0.048269264
bollinger_lower,0.047430146
price_to_sma200,0.04735995
ma21,0.047125954
return_1d,0.044108286
atr,0.04389861
vix_ma5,0.04308242
macd,0.042856533
vix_close,0.042848784
atr_ratio,0.04172102
stochastic_oscillator,0.041417245
sma200,0.04111182
rsi_slope,0.040342566
ma_spread,0.039809473
volatility_21d,0.039296098
ma7,0.038638793
rsi,0.03850647
mean_sentiment_score,0.038330298
return_5d,0.037831884
return_21d,0.03773096
vix_change_1d,0.03764885
bollinger_upper,0.037553117
neutral,0.03377834
negative,0.0
positive,0.0
