,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,23.07,22.95,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,22.81,23.18,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10100.218
2020-07-29 00:00:00+00:00,23.19,23.38,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10187.363
2020-07-30 00:00:00+00:00,22.97,23.04,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10039.216
2020-07-31 00:00:00+00:00,22.92,23.06,,,,0.5897435897435898,10000.0,0.0,0.0,10000.0,0,0.0,10047.931
2020-08-03 00:00:00+00:00,23.1,23.16,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10091.503
2020-08-04 00:00:00+00:00,23.09,23.04,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10039.215
2020-08-05 00:00:00+00:00,23.16,23.34,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10169.933
2020-08-06 00:00:00+00:00,23.37,23.12,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10074.072
2020-08-07 00:00:00+00:00,23.16,24.27,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10575.161
2020-08-10 00:00:00+00:00,24.32,24.39,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10627.448
2020-08-11 00:00:00+00:00,24.85,24.51,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10679.737
2020-08-12 00:00:00+00:00,24.99,24.41,,,,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10636.164
2020-08-13 00:00:00+00:00,23.95,24.05,,74.17219,,0.3684210526315789,10000.0,0.0,0.0,10000.0,0,0.0,10479.301
2020-08-14 00:00:00+00:00,24.03,24.2,,66.27219,0.53571427,0.3684210526315789,10000.0,0.0,0.0,10000.0,0,0.0,10544.661
2020-08-17 00:00:00+00:00,24.26,23.92,,67.70538,0.5321429,0.3684210526315789,10000.0,0.0,0.0,10000.0,0,0.0,10422.656
2020-08-18 00:00:00+00:00,23.88,23.72,,60.335194,0.5314286,0.3684210526315789,10000.0,0.0,0.0,10000.0,0,0.0,10335.511
2020-08-19 00:00:00+00:00,23.85,23.86,,54.748604,0.50857145,0.3684210526315789,10000.0,0.0,0.0,10000.0,0,0.0,10396.514
2020-08-20 00:00:00+00:00,23.53,23.14,,62.130177,0.50785714,0.3684210526315789,10000.0,0.0,0.0,10000.0,0,0.0,10082.787
2020-08-21 00:00:00+00:00,23.11,23.03,,50.980392,0.54714286,0.42857142857142855,10000.0,0.0,0.0,10000.0,0,0.0,10034.858
2020-08-24 00:00:00+00:00,22.99,23.47,,48.41076,0.54142857,0.3684210526315789,10000.0,0.0,0.0,10000.0,0,0.0,10226.579
2020-08-25 00:00:00+00:00,23.76,23.64,,54.875282,0.5542857,0.3684210526315789,10000.0,0.0,0.0,10000.0,0,0.0,10300.653
2020-08-26 00:00:00+00:00,23.54,23.62,,53.504673,0.5557143,0.3966160540901203,10000.0,0.0,0.0,10000.0,0,0.0,10291.938
2020-08-27 00:00:00+00:00,23.64,24.22,,56.127453,0.5492857,0.42857142857142855,10000.0,0.0,0.0,10000.0,0,0.0,10553.377
2020-08-28 00:00:00+00:00,24.29,24.23,,49.291786,0.51714283,0.3684210526315789,10000.0,0.0,0.0,10000.0,0,0.0,10557.735
2020-08-31 00:00:00+00:00,23.9,23.88,,47.66082,0.51,0.3684210526315789,10000.0,0.0,0.0,10000.0,0,0.0,10405.2295
2020-09-01 00:00:00+00:00,23.79,24.0,,41.36986,0.49214286,0.42857142857142855,10000.0,0.0,0.0,10000.0,0,0.0,10457.517
2020-09-02 00:00:00+00:00,23.96,24.29,,44.41417,0.47142857,0.42857142857142855,10000.0,0.0,0.0,10000.0,0,0.0,10583.88
2020-09-03 00:00:00+00:00,24.6,23.75,,53.333332,0.45857143,0.5833333333333334,10000.0,0.0,0.0,10000.0,0,0.0,10348.586
2020-09-04 00:00:00+00:00,24.26,24.2,,44.3609,0.5221428,0.3684210526315789,-10.0,9995.002498750626,0.0,9985.002498750626,1,23.062143325805664,10544.664
2020-09-08 00:00:00+00:00,23.97,23.21,,53.365383,0.5542857,0.424095103394016,-10.0,9586.11523134002,0.0,9576.11523134002,0,23.416786193847656,10113.291
2020-09-09 00:00:00+00:00,23.36,23.14,,44.848484,0.60642856,0.5833333333333334,9532.868320673833,0.0,0.0,9532.868320673833,-1,0.0,10082.79
2020-09-10 00:00:00+00:00,23.21,22.95,,42.62295,0.5864286,0.42857142857142855,-9.532868320673515,9528.104268539564,0.0,9518.57140021889,1,22.230356216430664,10000.001
2020-09-11 00:00:00+00:00,22.92,23.24,,47.816093,0.55714285,0.3684210526315789,-9.532868320673515,9648.502018006571,0.0,9638.969149685898,0,22.230356216430664,10126.362
2020-09-14 00:00:00+00:00,23.45,23.27,,52.317883,0.56714284,0.3684210526315789,-9.532868320673515,9660.95743711222,0.0,9651.424568791546,0,22.404285430908203,10139.435
2020-09-15 00:00:00+00:00,23.2,22.58,,47.572815,0.56357145,0.3684210526315789,-9.532868320673515,9374.491308110706,0.0,9364.958439790033,0,22.419286727905273,9838.78
2020-09-16 00:00:00+00:00,22.58,23.0,,38.577587,0.60714287,0.42857142857142855,-9.532868320673515,9548.862312486932,0.0,9539.329444166258,0,22.419286727905273,10021.787
2020-09-17 00:00:00+00:00,22.74,23.0,,43.849205,0.645,0.5833333333333334,-9.532868320673515,9548.862312486932,0.0,9539.329444166258,0,22.419286727905273,10021.787
2020-09-18 00:00:00+00:00,23.09,22.91,,36.26126,0.615,0.5833333333333334,-9.532868320673515,9511.49718523252,0.0,9501.964316911846,0,22.419286727905273,9982.571
2020-09-21 00:00:00+00:00,22.3,21.99,,35.39823,0.62,0.42857142857142855,9106.315485478839,0.0,0.0,9106.315485478839,-1,0.0,9581.699
2020-09-22 00:00:00+00:00,21.95,21.66,,31.434185,0.67785716,0.5833333333333334,9106.315485478839,0.0,0.0,9106.315485478839,0,0.0,9437.908
2020-09-23 00:00:00+00:00,21.76,21.53,,27.924528,0.6907143,0.42857142857142855,-9.106315485478262,9101.764603177251,0.0,9092.658287691773,1,20.643213272094727,9381.264
2020-09-24 00:00:00+00:00,21.51,21.44,,23.15175,0.705,0.5833333333333334,-9.106315485478262,9063.717470974267,0.0,9054.611155488788,0,20.643213272094727,9342.048
2020-09-25 00:00:00+00:00,21.13,21.62,,25.373135,0.64928573,0.3684210526315789,-9.106315485478262,9139.812388072349,0.0,9130.70607258687,0,20.643213272094727,9420.4795
2020-09-28 00:00:00+00:00,21.95,22.18,,20.81448,0.62285715,0.42857142857142855,-9.106315485478262,9376.551019260354,0.0,9367.444703774876,0,20.646072387695312,9664.488
2020-09-29 00:00:00+00:00,22.06,21.94,,37.09273,0.60714287,0.3684210526315789,-9.106315485478262,9275.091415027715,0.0,9265.985099542237,0,21.24571418762207,9559.913
2020-09-30 00:00:00+00:00,21.99,22.27,,35.576923,0.615,0.3684210526315789,-9.106315485478262,9414.598006479871,0.0,9405.491690994393,0,21.24571418762207,9703.703
2020-10-01 00:00:00+00:00,22.3,22.11,,42.09302,0.6142857,0.3684210526315789,-9.106315485478262,9346.958214519926,0.0,9337.851899034447,0,21.34749984741211,9633.986
2020-10-02 00:00:00+00:00,21.91,22.49,,36.45084,0.6185714,0.3684210526315789,-9.106315485478262,9507.602150517649,0.0,9498.49583503217,0,21.34749984741211,9799.563
2020-10-05 00:00:00+00:00,22.66,22.89,,41.37168,0.6314286,0.42857142857142855,-9.106315485478262,9676.701209390203,0.0,9667.594893904725,0,21.562143325805664,9973.855
2020-10-06 00:00:00+00:00,23.13,22.8,,53.664303,0.6042857,0.3684210526315789,-9.106315485478262,9638.653581465604,0.0,9629.547265980125,0,21.942855834960938,9934.639
2020-10-07 00:00:00+00:00,23.06,23.61,,47.435898,0.5942857,0.3684210526315789,-9.106315485478262,9981.080194365817,0.0,9971.973878880339,0,21.942855834960938,10287.58
2020-10-08 00:00:00+00:00,23.71,24.07,,56.475582,0.63857144,0.3684210526315789,10151.174031428929,0.0,0.0,10151.174031428929,-1,0.0,10488.016
2020-10-09 00:00:00+00:00,24.16,24.39,,61.417324,0.6478571,0.5833333333333334,10151.174031428929,0.0,0.0,10151.174031428929,0,0.0,10627.448
2020-10-12 00:00:00+00:00,24.37,24.47,,76.78571,0.5921429,0.42857142857142855,-10.151174031429036,10146.10098093846,0.0,10135.94980690703,1,23.418212890625,10662.307
2020-10-13 00:00:00+00:00,24.48,23.88,,83.21513,0.56142855,0.3684210526315789,-10.151174031429036,9901.466801071712,0.0,9891.315627040283,0,23.581785202026367,10405.226
2020-10-14 00:00:00+00:00,24.0,23.78,,75.05331,0.5707143,0.3684210526315789,-10.151174031429036,9860.004168051473,0.0,9849.852994020044,0,23.581785202026367,10361.653
2020-10-15 00:00:00+00:00,23.63,24.19,,74.893616,0.56357145,0.42857142857142855,-10.151174031429036,10030.004037258552,0.0,10019.852863227123,0,23.581785202026367,10540.303
2020-10-16 00:00:00+00:00,24.76,24.69,,76.06491,0.5707143,0.5833333333333334,-10.151174031429036,10237.321198821026,0.0,10227.170024789597,0,23.581785202026367,10758.168
2020-10-19 00:00:00+00:00,24.71,24.02,,75.77002,0.58214283,0.5833333333333334,-10.151174031429036,9959.516084504488,0.0,9949.36491047306,0,23.83392906188965,10466.229
2020-10-20 00:00:00+00:00,24.23,24.13,,69.62264,0.6135714,0.42857142857142855,-10.151174031429036,10005.124940036449,0.0,9994.97376600502,0,23.83392906188965,10514.158
2020-10-21 00:00:00+00:00,24.06,23.99,,68.30708,0.6185714,0.5833333333333334,-10.151174031429036,9947.076640691777,0.0,9936.925466660348,0,23.83392906188965,10453.156
2020-10-22 00:00:00+00:00,23.91,24.4,,68.57707,0.61142856,0.42857142857142855,-10.151174031429036,10117.076555170172,0.0,10106.925381138743,0,23.83392906188965,10631.806
2020-10-23 00:00:00+00:00,24.6,24.47,,68.762276,0.61071426,0.42857142857142855,-10.151174031429036,10146.101342641075,0.0,10135.950168609646,0,23.83392906188965,10662.308
2020-10-26 00:00:00+00:00,24.15,23.87,,66.59664,0.5964286,0.42857142857142855,-10.151174031429036,9897.321560129705,0.0,9887.170386098276,0,23.83392906188965,10400.871
2020-10-27 00:00:00+00:00,23.82,23.3,,60.151802,0.60785717,0.47735223875154964,9636.336729120656,0.0,0.0,9636.336729120656,-1,0.0,10152.505
2020-10-28 00:00:00+00:00,22.94,22.31,,46.918488,0.5857143,0.42857142857142855,9636.336729120656,0.0,0.0,9636.336729120656,0,0.0,9721.132
2020-10-29 00:00:00+00:00,22.22,22.49,,34.17266,0.6242857,0.5833333333333334,9636.336729120656,0.0,0.0,9636.336729120656,0,0.0,9799.563
2020-10-30 00:00:00+00:00,22.51,22.52,,32.472324,0.65,0.3684210526315789,-9.636336729121467,9631.520968636338,0.0,9621.884631907216,1,21.553571701049805,9812.636
2020-11-02 00:00:00+00:00,22.94,22.98,,31.843575,0.6642857,0.42857142857142855,-9.636336729121467,9828.257048678926,0.0,9818.620711949805,0,21.553571701049805,10013.071
2020-11-03 00:00:00+00:00,23.34,23.6,,41.412212,0.6542857,0.5833333333333334,-9.636336729121467,10093.423841136299,0.0,10083.787504407177,0,21.983570098876953,10283.225
2020-11-04 00:00:00+00:00,23.09,22.73,,48.4375,0.68785715,0.3684210526315789,-9.636336729121467,9721.33522658085,0.0,9711.698889851728,0,22.618572235107422,9904.139
2020-11-05 00:00:00+00:00,23.01,23.34,,38.263664,0.7185714,0.5833333333333334,-9.636336729121467,9982.224297832428,0.0,9972.587961103307,0,22.618572235107422,10169.934
2020-11-06 00:00:00+00:00,23.42,22.98,,39.336494,0.70928574,0.42857142857142855,-9.636336729121467,9828.25655415722,0.0,9818.620217428099,0,22.618572235107422,10013.071
2020-11-09 00:00:00+00:00,25.28,25.65,,41.362125,0.69,0.5833333333333334,10944.090900869762,0.0,0.0,10944.090900869762,-1,0.0,11176.471
2020-11-10 00:00:00+00:00,25.7,25.7,,58.857807,0.88928574,0.5833333333333334,-10.944090900869924,10938.621590074725,0.0,10927.677499173855,1,24.614999771118164,11198.257
