,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-01-02 00:00:00+00:00,227.51,228.39,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-01-03 00:00:00+00:00,225.69,226.18,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,9903.235
2020-01-06 00:00:00+00:00,224.99,226.99,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,9938.702
2020-01-07 00:00:00+00:00,227.26,225.92,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,9891.853
2020-01-08 00:00:00+00:00,226.03,225.99,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,9894.917
2020-01-09 00:00:00+00:00,226.92,228.65,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,10011.383
2020-01-10 00:00:00+00:00,228.5,226.62,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,9922.5
2020-01-13 00:00:00+00:00,227.05,228.45,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,10002.627
2020-01-14 00:00:00+00:00,227.85,227.17,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,9946.583
2020-01-15 00:00:00+00:00,226.8,228.35,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,9998.249
2020-01-16 00:00:00+00:00,229.34,229.73,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,10058.673
2020-01-17 00:00:00+00:00,230.13,230.2,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,10079.252
2020-01-21 00:00:00+00:00,229.85,228.63,,,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,10010.51
2020-01-22 00:00:00+00:00,229.0,229.54,,50.724636,,0.4591194968553459,10000.0,0.0,0.0,10000.0,0,0.0,10050.353
