feature,importance
bollinger_upper,0.05232585
ma7,0.05227079
bollinger_lower,0.05039753
Close_FFD,0.04941888
atr,0.049254905
macd,0.04918216
atr_ratio,0.048316006
return_5d,0.047444295
vix_change_1d,0.045991562
price_to_sma200,0.0449915
stochastic_oscillator,0.044917427
sma200,0.044854153
volume_ratio,0.04412987
rsi_slope,0.04317006
volatility_21d,0.042970225
vix_ma5,0.04275597
vix_close,0.042652417
rsi,0.04197521
ma21,0.041258194
return_1d,0.04116584
return_21d,0.04084011
ma_spread,0.039717082
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
