feature,importance
bollinger_upper,0.056038864
Close_FFD,0.055253156
atr,0.05109364
atr_ratio,0.047613695
sma200,0.046252187
return_5d,0.04610829
rsi,0.04522046
price_to_sma200,0.04510443
return_21d,0.04487751
vix_close,0.04438636
vix_ma5,0.044321094
bollinger_lower,0.043748192
vix_change_1d,0.043673523
ma_spread,0.043383308
rsi_slope,0.041942593
volatility_21d,0.041897967
ma21,0.041373838
volume_ratio,0.041294515
ma7,0.040741567
macd,0.0403287
stochastic_oscillator,0.03835156
return_1d,0.035236508
mean_sentiment_score,0.02175803
positive,0.0
negative,0.0
neutral,0.0
