feature,importance
volatility_21d,0.052733935
bollinger_upper,0.051799767
bollinger_lower,0.051306583
ma7,0.05038439
price_to_sma200,0.049618457
return_21d,0.047524106
rsi_slope,0.04744285
ma21,0.047058556
return_5d,0.045364548
vix_close,0.043721255
atr_ratio,0.043471526
atr,0.043420095
rsi,0.043033626
macd,0.042617485
return_1d,0.04238864
volume_ratio,0.041654803
stochastic_oscillator,0.041049384
Close_FFD,0.04081659
vix_ma5,0.03803288
vix_change_1d,0.037611175
sma200,0.035445046
ma_spread,0.033796377
mean_sentiment_score,0.02970796
positive,0.0
negative,0.0
neutral,0.0
