feature,importance
price_to_sma200,0.04902365
rsi,0.047491424
ma21,0.04745315
Close_FFD,0.04657238
atr,0.04627108
return_5d,0.046109635
return_1d,0.04595155
volatility_21d,0.045603056
bollinger_upper,0.04502054
volume_ratio,0.04480785
ma7,0.04434111
rsi_slope,0.044206146
stochastic_oscillator,0.04404971
ma_spread,0.0437647
macd,0.04319916
return_21d,0.042919546
vix_ma5,0.0416002
bollinger_lower,0.0411654
vix_close,0.040846325
vix_change_1d,0.040575102
sma200,0.039869033
atr_ratio,0.037198212
mean_sentiment_score,0.03196105
positive,0.0
negative,0.0
neutral,0.0
