,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,80.12,80.9,,,,0.45454545454545453,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,81.07,81.94,,,,0.45454545454545453,10000.0,0.0,0.0,10000.0,0,0.0,10128.554
2020-07-29 00:00:00+00:00,81.72,83.01,,,,0.45454545454545453,10000.0,0.0,0.0,10000.0,0,0.0,10260.815
2020-07-30 00:00:00+00:00,82.73,83.65,,,,0.45454545454545453,10000.0,0.0,0.0,10000.0,0,0.0,10339.925
2020-07-31 00:00:00+00:00,87.09,89.5,,,,0.45454545454545453,10000.0,0.0,0.0,10000.0,0,0.0,11063.04
2020-08-03 00:00:00+00:00,88.77,86.75,,,,0.45454545454545453,10000.0,0.0,0.0,10000.0,0,0.0,10723.115
2020-08-04 00:00:00+00:00,86.17,89.21,,,,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11027.194
2020-08-05 00:00:00+00:00,89.33,89.03,,,,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11004.943
2020-08-06 00:00:00+00:00,88.99,88.31,,,,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10915.944
2020-08-07 00:00:00+00:00,88.44,88.14,,,,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10894.932
2020-08-10 00:00:00+00:00,87.87,88.1,,,,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10889.986
2020-08-11 00:00:00+00:00,87.68,86.11,,,,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10644.004
2020-08-12 00:00:00+00:00,86.4,88.07,,,,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10886.278
2020-08-13 00:00:00+00:00,87.73,88.24,,68.99841,,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10907.291
2020-08-14 00:00:00+00:00,88.11,87.82,,69.27521,2.1307142,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10855.376
2020-08-17 00:00:00+00:00,87.71,89.23,,67.78006,2.0942857,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11029.665
2020-08-18 00:00:00+00:00,89.39,89.81,,68.38124,2.1157143,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11101.358
2020-08-19 00:00:00+00:00,90.01,89.57,,67.58015,2.0907142,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11071.692
2020-08-20 00:00:00+00:00,89.36,89.88,,65.6283,2.0492857,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11110.012
2020-08-21 00:00:00+00:00,89.9,89.87,,51.41791,1.705,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11108.775
2020-08-24 00:00:00+00:00,89.65,89.98,,64.63415,1.4564285,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11122.372
2020-08-25 00:00:00+00:00,90.06,89.47,,54.632973,1.2664286,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11059.332
2020-08-26 00:00:00+00:00,89.04,89.33,,52.546295,1.2442857,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11042.027
2020-08-27 00:00:00+00:00,89.94,89.51,,56.327545,1.2428571,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11064.276
2020-08-28 00:00:00+00:00,88.77,88.42,,58.488228,1.205,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10929.542
2020-08-31 00:00:00+00:00,88.61,89.27,,51.754387,1.2714286,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11034.609
2020-09-01 00:00:00+00:00,88.7,88.76,,69.7995,1.17,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10971.568
2020-09-02 00:00:00+00:00,89.17,91.43,,55.283306,1.1128571,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,11301.605
2020-09-03 00:00:00+00:00,91.19,87.72,,67.663345,1.2607143,0.45454545454545453,10000.0,0.0,0.0,10000.0,0,0.0,10843.015
2020-09-04 00:00:00+00:00,87.51,86.87,,49.594154,1.5192857,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10737.947
2020-09-08 00:00:00+00:00,86.73,85.56,,39.96599,1.5557142,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10576.019
2020-09-09 00:00:00+00:00,86.9,87.54,,32.98639,1.5871428,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10820.766
2020-09-10 00:00:00+00:00,87.48,86.51,,42.867184,1.7285714,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10693.449
2020-09-11 00:00:00+00:00,87.46,86.5,,38.729095,1.7835715,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10692.213
2020-09-14 00:00:00+00:00,86.85,86.41,,38.729095,1.8492857,0.5,10000.0,0.0,0.0,10000.0,0,0.0,10681.088
2020-09-15 00:00:00+00:00,86.12,85.97,,38.044205,1.8571428,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10626.7
2020-09-16 00:00:00+00:00,86.47,85.59,,38.22342,1.9185715,0.500588372179119,10000.0,0.0,0.0,10000.0,0,0.0,10579.728
2020-09-17 00:00:00+00:00,84.65,85.69,,37.615894,1.9285715,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10592.09
2020-09-18 00:00:00+00:00,84.6,84.14,,37.283623,1.9564285,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10400.494
2020-09-21 00:00:00+00:00,84.11,83.48,,36.17571,1.9835714,0.4117647058823529,10000.0,0.0,0.0,10000.0,0,0.0,10318.912
2020-09-22 00:00:00+00:00,84.03,85.37,,31.066055,2.0714285,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10552.534
2020-09-23 00:00:00+00:00,85.49,85.34,,39.832035,2.12,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10548.825
2020-09-24 00:00:00+00:00,85.27,86.22,,28.296507,1.9685714,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10657.602
2020-09-25 00:00:00+00:00,86.34,86.53,,43.30357,1.7807143,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10695.92
2020-09-28 00:00:00+00:00,87.3,86.82,,48.405254,1.6721429,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10731.768
2020-09-29 00:00:00+00:00,87.12,86.44,,56.53527,1.6578572,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10684.797
2020-09-30 00:00:00+00:00,86.66,87.3,,43.159203,1.5535715,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10791.101
2020-10-01 00:00:00+00:00,87.39,86.66,,55.01906,1.5107143,0.5,10000.0,0.0,0.0,10000.0,0,0.0,10711.99
2020-10-02 00:00:00+00:00,86.6,84.97,,50.941177,1.4857143,0.45454545454545453,10000.0,0.0,0.0,10000.0,0,0.0,10503.091
2020-10-05 00:00:00+00:00,85.19,84.45,,42.87129,1.5592858,0.45454545454545453,10000.0,0.0,0.0,10000.0,0,0.0,10438.8125
2020-10-06 00:00:00+00:00,84.76,83.76,,42.53438,1.5457143,0.4117647058823529,10000.0,0.0,0.0,10000.0,0,0.0,10353.523
2020-10-07 00:00:00+00:00,84.21,84.7,,41.27741,1.5835714,0.45454545454545453,10000.0,0.0,0.0,10000.0,0,0.0,10469.716
2020-10-08 00:00:00+00:00,84.81,84.76,,45.63107,1.5978571,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10477.133
2020-10-09 00:00:00+00:00,85.52,86.36,,53.150406,1.5271429,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10674.907
2020-10-12 00:00:00+00:00,86.39,86.78,,63.35807,1.5335715,0.5,10000.0,0.0,0.0,10000.0,0,0.0,10726.822
2020-10-13 00:00:00+00:00,86.64,88.64,,57.572502,1.5121429,0.5,10000.0,0.0,0.0,10000.0,0,0.0,10956.735
2020-10-14 00:00:00+00:00,89.14,87.95,,64.81149,1.6392857,0.5,10000.0,0.0,0.0,10000.0,0,0.0,10871.445
2020-10-15 00:00:00+00:00,87.35,88.54,,57.899544,1.6357143,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10944.375
2020-10-16 00:00:00+00:00,88.71,86.8,,58.94924,1.7114285,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10729.295
2020-10-19 00:00:00+00:00,87.2,85.86,,49.921135,1.7764286,0.45454545454545453,10000.0,0.0,0.0,10000.0,0,0.0,10613.102
2020-10-20 00:00:00+00:00,86.82,85.91,,47.80967,1.8414285,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10619.283
2020-10-21 00:00:00+00:00,86.04,85.82,,44.408688,1.8642857,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10608.157
2020-10-22 00:00:00+00:00,85.56,84.74,,46.464645,1.8642857,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10474.658
2020-10-23 00:00:00+00:00,85.14,85.55,,48.97959,1.7978572,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10574.782
2020-10-26 00:00:00+00:00,85.04,85.51,,54.757786,1.7571429,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10569.837
2020-10-27 00:00:00+00:00,85.59,85.83,,58.020164,1.7085714,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10609.392
2020-10-28 00:00:00+00:00,84.73,82.18,,55.49077,1.6871428,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10158.217
2020-10-29 00:00:00+00:00,78.68,81.16,,40.70605,1.8635714,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10032.137
2020-10-30 00:00:00+00:00,81.19,82.27,,30.451128,2.0642858,0.5132275132275133,10000.0,0.0,0.0,10000.0,0,0.0,10169.343
