feature,importance
stochastic_oscillator,0.052411206
Close_FFD,0.049546096
return_1d,0.049221434
sma200,0.048843227
volatility_21d,0.04733678
rsi_slope,0.046949383
vix_ma5,0.04655958
return_21d,0.04561182
ma21,0.043845333
macd,0.04367807
ma_spread,0.043460373
price_to_sma200,0.043021105
ma7,0.042517994
bollinger_lower,0.042286046
atr,0.042215146
atr_ratio,0.041648056
vix_close,0.04102508
return_5d,0.040264226
vix_change_1d,0.039771266
rsi,0.039711837
bollinger_upper,0.03906418
volume_ratio,0.038156677
neutral,0.03285508
mean_sentiment_score,0.0
negative,0.0
positive,0.0
