feature,importance
Close_FFD,0.051347636
sma200,0.04818176
ma_spread,0.046406783
bollinger_lower,0.046305686
vix_close,0.04622012
return_21d,0.04607655
volatility_21d,0.046027206
vix_change_1d,0.04536192
atr_ratio,0.044974353
rsi,0.044562086
return_5d,0.04354396
vix_ma5,0.042708673
volume_ratio,0.04212411
stochastic_oscillator,0.040811807
ma7,0.040732566
macd,0.039638866
ma21,0.039402004
bollinger_upper,0.038542308
price_to_sma200,0.037887216
return_1d,0.03525181
rsi_slope,0.034318
mean_sentiment_score,0.033774182
atr,0.03327657
neutral,0.032523807
negative,0.0
positive,0.0
