feature,importance
volatility_21d,0.04984335
atr,0.046735287
ma21,0.045862053
return_1d,0.045209788
Close_FFD,0.044992555
macd,0.04437716
atr_ratio,0.044359628
rsi,0.04373964
bollinger_upper,0.04330787
bollinger_lower,0.042210232
vix_ma5,0.041766588
mean_sentiment_score,0.041563757
ma_spread,0.041489426
return_21d,0.041339725
rsi_slope,0.041329082
vix_change_1d,0.040820993
neutral,0.039851774
vix_close,0.039447695
stochastic_oscillator,0.039171774
volume_ratio,0.038392507
price_to_sma200,0.038139366
sma200,0.035664152
return_5d,0.035288524
ma7,0.03509706
negative,0.0
positive,0.0
