,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,22.77,22.84,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,22.77,22.22,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9728.546
2020-07-29 00:00:00+00:00,22.59,23.07,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10100.699
2020-07-30 00:00:00+00:00,22.87,23.0,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10070.052
2020-07-31 00:00:00+00:00,22.94,23.1,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10113.834
2020-08-03 00:00:00+00:00,23.01,22.95,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10048.159
2020-08-04 00:00:00+00:00,22.95,23.26,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10183.887
2020-08-05 00:00:00+00:00,23.42,23.42,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10253.938
2020-08-06 00:00:00+00:00,23.36,23.74,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10394.044
2020-08-07 00:00:00+00:00,23.71,23.61,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10337.126
2020-08-10 00:00:00+00:00,23.64,23.24,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10175.129
2020-08-11 00:00:00+00:00,23.25,22.92,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10035.024
2020-08-12 00:00:00+00:00,23.08,23.23,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10170.751
2020-08-13 00:00:00+00:00,23.5,23.88,,55.256065,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,10455.339
2020-08-14 00:00:00+00:00,24.0,23.72,,61.926605,0.5285714,0.75,-10.0,9995.002498750626,0.0,9985.002498750626,1,,10385.287
2020-08-17 00:00:00+00:00,24.03,24.32,,59.734512,0.5257143,0.99,-10.0,10247.82746985577,0.0,10237.82746985577,0,,10647.983
2020-08-18 00:00:00+00:00,24.39,24.77,,73.333336,0.5278571,0.4655172413793103,-10.0,10437.446180896815,0.0,10427.446180896815,0,,10845.007
2020-08-19 00:00:00+00:00,24.55,24.38,,70.731705,0.50714284,0.4655172413793103,-10.0,10273.109378333089,0.0,10263.109378333089,0,,10674.253
2020-08-20 00:00:00+00:00,24.51,24.83,,65.61086,0.50785714,0.4655172413793103,-10.0,10462.728071994088,0.0,10452.728071994088,0,,10871.275
2020-08-21 00:00:00+00:00,24.9,25.09,,68.13417,0.51357144,0.4655172413793103,-10.0,10572.28564949871,0.0,10562.28564949871,0,,10985.111
2020-08-24 00:00:00+00:00,25.36,24.86,,71.92623,0.5107143,0.4655172413793103,-10.0,10475.369972681394,0.0,10465.369972681394,0,,10884.411
2020-08-25 00:00:00+00:00,25.12,25.38,,66.666664,0.525,0.99,-10.0,10694.483893877443,0.0,10684.483893877443,0,,11112.081
2020-08-26 00:00:00+00:00,25.49,25.55,,68.99225,0.54642856,0.4655172413793103,-10.0,10766.116953978617,0.0,10756.116953978617,0,,11186.512
2020-08-27 00:00:00+00:00,25.6,25.67,,68.06387,0.54142857,0.4655172413793103,-10.0,10816.682463997657,0.0,10806.682463997657,0,,11239.052
2020-08-28 00:00:00+00:00,25.92,26.03,,70.6,0.525,0.4655172413793103,-10.0,10968.37711644918,0.0,10958.37711644918,0,,11396.67
2020-08-31 00:00:00+00:00,26.11,26.21,,77.95591,0.47928572,0.4655172413793103,-10.0,11044.224458436192,0.0,11034.224458436192,0,,11475.4795
2020-09-01 00:00:00+00:00,26.82,27.33,,83.91753,0.47357142,0.4655172413793103,-10.0,11516.163628721779,0.0,11506.163628721779,0,,11965.847
2020-09-02 00:00:00+00:00,27.54,27.59,,86.21908,0.5228571,0.4655172413793103,-10.0,11625.721248082049,0.0,11615.721248082049,0,,12079.683
2020-09-03 00:00:00+00:00,27.15,26.55,,85.19924,0.50714284,0.4655172413793103,-10.0,11187.491180405397,0.0,11177.491180405397,0,,11624.34
2020-09-04 00:00:00+00:00,26.41,26.3,,73.00813,0.5742857,0.4655172413793103,-10.0,11082.147273424758,0.0,11072.147273424758,0,,11514.883
2020-09-08 00:00:00+00:00,25.73,25.95,,67.06896,0.62285715,0.4655172413793103,-10.0,10934.666843910258,0.0,10924.666843910258,0,,11361.645
2020-09-09 00:00:00+00:00,26.58,26.43,,60.350876,0.6557143,0.4655172413793103,-10.0,11136.926572918377,0.0,11126.926572918377,0,,11571.802
2020-09-10 00:00:00+00:00,26.63,26.21,,67.702934,0.68285716,0.4655172413793103,-10.0,11044.22382236899,0.0,11034.22382236899,0,,11475.4795
2020-09-11 00:00:00+00:00,26.3,25.93,,62.410072,0.7135714,0.4655172413793103,-10.0,10926.239694879698,0.0,10916.239694879698,0,,11352.889
