feature,importance
ma21,0.048379935
volatility_21d,0.048077334
sma200,0.047993384
return_1d,0.047114223
vix_ma5,0.046856042
atr,0.045633804
return_21d,0.0452619
ma_spread,0.045209125
price_to_sma200,0.045070138
macd,0.04500818
atr_ratio,0.04471095
Close_FFD,0.04448327
bollinger_upper,0.044105724
vix_close,0.04309858
rsi,0.042178366
rsi_slope,0.041831084
bollinger_lower,0.041530095
return_5d,0.041494627
vix_change_1d,0.04080592
ma7,0.03978584
volume_ratio,0.039557513
stochastic_oscillator,0.038613047
neutral,0.033200953
mean_sentiment_score,0.0
negative,0.0
positive,0.0
