feature,importance
atr_ratio,0.052898914
bollinger_upper,0.052484438
return_21d,0.049040407
vix_ma5,0.048726592
ma21,0.048399366
atr,0.04794212
ma7,0.04716191
bollinger_lower,0.04648281
volatility_21d,0.046441793
vix_close,0.045801263
volume_ratio,0.0456104
vix_change_1d,0.045576926
macd,0.045238923
sma200,0.044349216
stochastic_oscillator,0.0439372
ma_spread,0.042776223
rsi,0.042619232
Close_FFD,0.042088397
price_to_sma200,0.04133583
rsi_slope,0.04123445
return_1d,0.039954208
return_5d,0.039899368
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
