feature,importance
rsi,0.052790772
vix_ma5,0.05051773
Close_FFD,0.04937198
bollinger_upper,0.047044132
atr_ratio,0.046276048
vix_close,0.045086443
stochastic_oscillator,0.04488787
ma21,0.044666767
ma7,0.044005062
sma200,0.043825388
return_21d,0.043751605
rsi_slope,0.043644816
macd,0.043522287
bollinger_lower,0.042538926
ma_spread,0.04235756
volume_ratio,0.04213477
price_to_sma200,0.04169499
vix_change_1d,0.04137222
volatility_21d,0.039242387
return_5d,0.038768552
return_1d,0.037200384
atr,0.036973517
mean_sentiment_score,0.026435027
neutral,0.0118907485
negative,0.0
positive,0.0
