feature,importance
atr_ratio,0.049435377
bollinger_upper,0.048081324
return_21d,0.046737887
price_to_sma200,0.045527764
rsi_slope,0.045515183
stochastic_oscillator,0.04485443
vix_close,0.04426823
ma21,0.04412923
macd,0.044101838
volume_ratio,0.043056782
ma_spread,0.042971555
atr,0.04278752
sma200,0.042785995
return_5d,0.042700924
bollinger_lower,0.04239524
Close_FFD,0.0421579
vix_change_1d,0.04212462
volatility_21d,0.041715086
rsi,0.041307
ma7,0.04104363
mean_sentiment_score,0.041031733
return_1d,0.04092797
vix_ma5,0.040342756
positive,0.0
negative,0.0
neutral,0.0
