,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-06 00:00:00+00:00,87.3,87.63,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-07 00:00:00+00:00,87.6,87.75,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,10013.694
2016-09-08 00:00:00+00:00,87.4,87.27,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9958.919
2016-09-09 00:00:00+00:00,86.63,85.31,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9735.251
2016-09-12 00:00:00+00:00,85.01,86.95,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9922.402
2016-09-13 00:00:00+00:00,86.2,85.25,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9728.404
2016-09-14 00:00:00+00:00,85.38,83.85,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9568.642
2016-09-15 00:00:00+00:00,83.54,84.2,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9608.582
2016-09-16 00:00:00+00:00,83.96,84.11,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9598.312
2016-09-19 00:00:00+00:00,83.91,83.26,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9501.313
2016-09-20 00:00:00+00:00,83.65,82.08,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9366.656
2016-09-21 00:00:00+00:00,82.2,83.02,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9473.925
2016-09-22 00:00:00+00:00,83.26,83.59,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9538.972
2016-09-23 00:00:00+00:00,83.55,83.33,,32.092182,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9509.303
2016-09-26 00:00:00+00:00,83.07,82.72,,31.369148,1.4378575,0.75,-10.0,9995.002498750626,0.0,9985.002498750626,1,,9439.691
2016-09-27 00:00:00+00:00,82.75,83.25,,29.794231,1.4442858,0.75,-10.0,10059.041895906907,0.0,10049.041895906907,0,,9500.173
2016-09-28 00:00:00+00:00,83.25,83.2,,32.08596,1.4649996,0.75,-10.0,10053.000073164381,0.0,10043.000073164381,0,,9494.467
2016-09-29 00:00:00+00:00,82.92,81.25,,33.22339,1.4814284,0.75,-10.0,9817.38348315509,0.0,9807.38348315509,0,,9271.94
2016-09-30 00:00:00+00:00,81.29,80.78,,33.25081,1.4800001,0.75,-10.0,9760.593544524021,0.0,9750.593544524021,0,,9218.306
2016-10-03 00:00:00+00:00,80.68,80.12,,21.826445,1.4878572,0.75,-10.0,9680.846501861184,0.0,9670.846501861184,0,,9142.989
2016-10-04 00:00:00+00:00,81.26,80.53,,24.117018,1.4150009,0.75,-10.0,9730.386270293015,0.0,9720.386270293015,0,,9189.776
2016-10-05 00:00:00+00:00,80.71,80.03,,31.390085,1.3821433,0.75,-10.0,9669.97188767926,0.0,9659.97188767926,0,,9132.719
2016-10-06 00:00:00+00:00,79.58,80.14,,27.01208,1.346429,0.75,-10.0,9683.263100698743,0.0,9673.263100698743,0,,9145.271
2016-10-07 00:00:00+00:00,80.43,79.39,,28.162764,1.3471434,0.75,-10.0,9592.640883879998,0.0,9582.640883879998,0,,9059.685
2016-10-10 00:00:00+00:00,79.07,79.64,,28.476028,1.3442868,0.75,-10.0,9622.848422674107,0.0,9612.848422674107,0,,9088.214
2016-10-11 00:00:00+00:00,79.6,79.61,,34.863476,1.3171442,0.75,-10.0,9619.223482634514,0.0,9609.223482634514,0,,9084.79
2016-10-12 00:00:00+00:00,79.69,80.61,,26.153828,1.2757155,0.75,-10.0,9740.052492356828,0.0,9730.052492356828,0,,9198.906
2016-10-13 00:00:00+00:00,80.28,80.38,,30.343,1.3257158,0.75,-10.0,9712.261450457558,0.0,9702.261450457558,0,,9172.659
2016-10-14 00:00:00+00:00,80.49,79.79,,30.463533,1.3392874,0.75,-10.0,9640.972736729485,0.0,9630.972736729485,0,,9105.331
2016-10-17 00:00:00+00:00,79.75,79.74,,30.544464,1.3535728,0.75,-10.0,9634.93090074466,0.0,9624.93090074466,0,,9099.625
2016-10-18 00:00:00+00:00,80.46,81.09,,25.106352,1.3107158,0.75,-10.0,9798.05012762865,0.0,9788.05012762865,0,,9253.682
2016-10-19 00:00:00+00:00,81.2,80.35,,37.365253,1.3578584,0.75,-10.0,9708.63655217666,0.0,9698.63655217666,0,,9169.235
2016-10-20 00:00:00+00:00,80.28,80.74,,43.69746,1.2735727,0.75,-10.0,9755.759608333108,0.0,9745.759608333108,0,,9213.74
2016-10-21 00:00:00+00:00,80.16,80.02,,49.716705,1.2192862,0.75,-10.0,9668.76251949773,0.0,9658.76251949773,0,,9131.576
2016-10-24 00:00:00+00:00,80.34,80.04,,49.29771,1.2092857,0.75,-10.0,9671.179534931445,0.0,9661.179534931445,0,,9133.859
2016-10-25 00:00:00+00:00,79.6,80.39,,46.3596,1.1621426,0.75,-10.0,9713.470008833712,0.0,9703.470008833712,0,,9173.801
2016-10-26 00:00:00+00:00,80.01,79.37,,52.735565,1.1714281,0.75,-10.0,9590.22452673165,0.0,9580.22452673165,0,,9057.402
2016-10-27 00:00:00+00:00,79.56,79.5,,44.859833,1.1642854,0.75,-10.0,9605.931554020655,0.0,9595.931554020655,0,,9072.236
2016-10-28 00:00:00+00:00,69.13,69.14,,50.800587,1.0842847,0.75,-10.0,8354.13968106646,0.0,8344.13968106646,0,,7889.9927
2016-10-31 00:00:00+00:00,69.51,70.32,,19.081264,1.7907132,0.75,-10.0,8496.718415907715,0.0,8486.718415907715,0,,8024.6494
2016-11-01 00:00:00+00:00,69.85,69.79,,24.379475,1.8635706,0.75,-10.0,8432.679093354252,0.0,8422.679093354252,0,,7964.168
2016-11-02 00:00:00+00:00,70.27,75.96,,19.365793,1.8564273,0.75,-10.0,9178.196335534656,0.0,9168.196335534656,0,,8668.266
2016-11-03 00:00:00+00:00,75.87,72.32,,40.635593,2.277856,0.75,-10.0,8738.377818534847,0.0,8728.377818534847,0,,8252.883
2016-11-04 00:00:00+00:00,71.69,70.47,,35.984985,2.6471422,0.75,-10.0,8514.843960264556,0.0,8504.843960264556,0,,8041.7686
2016-11-07 00:00:00+00:00,71.52,71.93,,33.70826,2.816428,0.75,-10.0,8691.2543141724,0.0,8681.2543141724,0,,8208.378
2016-11-08 00:00:00+00:00,71.03,69.03,,33.963585,2.8428562,0.75,-10.0,8340.84902303909,0.0,8330.84902303909,0,,7877.441
2016-11-09 00:00:00+00:00,72.98,75.61,,31.575518,3.0121422,0.75,-10.0,9135.906592460893,0.0,9125.906592460893,0,,8628.326
2016-11-10 00:00:00+00:00,77.09,79.59,,43.050667,3.4107144,0.75,-10.0,9616.807292385529,0.0,9606.807292385529,0,,9082.509
2016-11-11 00:00:00+00:00,79.41,78.92,,49.464775,3.7235718,0.5829596412556054,-10.0,9535.851635360817,0.0,9525.851635360817,0,,9006.051
2016-11-14 00:00:00+00:00,82.16,81.33,,48.62812,3.8428578,0.75,-10.0,9827.050298377639,0.0,9817.050298377639,0,,9281.071
2016-11-15 00:00:00+00:00,81.5,79.53,,51.096085,4.025001,0.5829596412556054,-10.0,9609.557051491976,0.0,9599.557051491976,0,,9075.661
2016-11-16 00:00:00+00:00,79.16,78.86,,50.18323,4.1342874,0.75,-10.0,9528.601713961552,0.0,9518.601713961552,0,,8999.204
2016-11-17 00:00:00+00:00,78.2,80.16,,49.27602,4.1928587,0.75,-10.0,9685.680482765254,0.0,9675.680482765254,0,,9147.556
2016-11-18 00:00:00+00:00,79.91,79.21,,65.680145,3.5800014,0.75,-10.0,9570.891896421152,0.0,9560.891896421152,0,,9039.145
2016-11-21 00:00:00+00:00,78.62,78.45,,62.73274,3.5407155,0.75,-10.0,9479.06112115221,0.0,9469.06112115221,0,,8952.416
2016-11-22 00:00:00+00:00,78.77,78.41,,62.322132,3.5385725,0.75,-10.0,9474.22870975754,0.0,9464.22870975754,0,,8947.852
2016-11-23 00:00:00+00:00,78.07,78.7,,54.22269,3.1171439,0.75,-10.0,9509.268843438866,0.0,9499.268843438866,0,,8980.944
2016-11-25 00:00:00+00:00,79.07,78.57,,62.431797,2.7514293,0.75,-10.0,9493.56120949899,0.0,9483.56120949899,0,,8966.109
2016-11-28 00:00:00+00:00,78.61,79.05,,66.9173,2.6857152,0.75,-10.0,9551.559631271042,0.0,9541.559631271042,0,,9020.886
2016-11-29 00:00:00+00:00,78.65,77.63,,65.50523,2.6785731,0.75,-10.0,9379.981054978412,0.0,9369.981054978412,0,,8858.84
2016-11-30 00:00:00+00:00,77.72,77.99,,70.018616,2.5792873,0.75,-10.0,9423.47940929652,0.0,9413.47940929652,0,,8899.922
2016-12-01 00:00:00+00:00,77.88,77.8,,57.798157,2.175716,0.75,-10.0,9400.522295886478,0.0,9390.522295886478,0,,8878.24
2016-12-02 00:00:00+00:00,78.15,78.8,,42.197067,1.8828583,0.75,-10.0,9521.351939554339,0.0,9511.351939554339,0,,8992.356
2016-12-05 00:00:00+00:00,78.89,79.54,,49.491547,1.8335724,0.75,-10.0,9610.765346449778,0.0,9600.765346449778,0,,9076.802
2016-12-06 00:00:00+00:00,79.9,78.87,,41.16485,1.6771437,0.75,-10.0,9529.810140918322,0.0,9519.810140918322,0,,9000.345
2016-12-07 00:00:00+00:00,78.19,76.38,,46.33335,1.587143,0.75,-10.0,9228.944213187477,0.0,9218.944213187477,0,,8716.194
2016-12-08 00:00:00+00:00,76.24,76.88,,38.539726,1.8342863,0.75,-10.0,9289.359271624226,0.0,9279.359271624226,0,,8773.253
2016-12-09 00:00:00+00:00,77.19,78.9,,33.632698,1.7928575,0.75,-10.0,9533.435331406661,0.0,9523.435331406661,0,,9003.769
2016-12-12 00:00:00+00:00,78.37,78.07,,48.602356,1.870715,0.75,-10.0,9433.146610377184,0.0,9423.146610377184,0,,8909.052
2016-12-13 00:00:00+00:00,78.38,79.04,,48.297504,1.8842866,0.75,-10.0,9550.35069699241,0.0,9540.35069699241,0,,9019.744
2016-12-14 00:00:00+00:00,78.95,77.05,,52.605446,1.8914293,0.75,-10.0,9309.90036035068,0.0,9299.90036035068,0,,8792.653
2016-12-15 00:00:00+00:00,76.8,76.67,,44.01743,2.0107155,0.75,-10.0,9263.984613935014,0.0,9253.984613935014,0,,8749.288
2016-12-16 00:00:00+00:00,76.94,77.38,,43.23362,1.972144,0.75,-10.0,9349.772965563758,0.0,9339.772965563758,0,,8830.311
2016-12-19 00:00:00+00:00,77.55,78.42,,44.14855,1.9228581,0.75,-10.0,9475.435149710343,0.0,9465.435149710343,0,,8948.99
2016-12-20 00:00:00+00:00,78.7,79.3,,52.843773,1.8828583,0.75,-10.0,9581.76514061978,0.0,9571.76514061978,0,,9049.413
2016-12-21 00:00:00+00:00,78.96,78.85,,54.545467,1.895001,0.75,-10.0,9527.391308156883,0.0,9517.391308156883,0,,8998.061
2016-12-22 00:00:00+00:00,78.96,77.81,,53.578712,1.8864299,0.75,-10.0,9401.728696098631,0.0,9391.728696098631,0,,8879.379
2016-12-23 00:00:00+00:00,78.04,78.56,,46.63493,1.8657156,0.75,-10.0,9492.351070773959,0.0,9482.351070773959,0,,8964.967
2016-12-27 00:00:00+00:00,78.42,78.82,,46.67119,1.8407156,0.75,-10.0,9523.767027125465,0.0,9513.767027125465,0,,8994.637
2016-12-28 00:00:00+00:00,78.86,78.35,,49.825287,1.7985725,0.75,-10.0,9466.977110316402,0.0,9456.977110316402,0,,8941.003
2016-12-29 00:00:00+00:00,78.61,79.34,,58.014637,1.5128583,0.75,-10.0,9586.597938802843,0.0,9576.597938802843,0,,9053.978
2016-12-30 00:00:00+00:00,79.35,78.19,,59.624393,1.5078583,0.75,-10.0,9447.645199149001,0.0,9437.645199149001,0,,8922.744
2017-01-03 00:00:00+00:00,78.51,82.61,,47.019318,1.4500008,0.75,-10.0,9981.710434500475,0.0,9971.710434500475,0,,9427.138
2017-01-04 00:00:00+00:00,82.6,84.66,,64.64516,1.6800003,0.75,-10.0,10229.410972661117,0.0,10219.410972661117,0,,9661.076
2017-01-05 00:00:00+00:00,84.38,83.68,,66.94813,1.7921431,0.5829596412556054,-10.0,10110.997782082326,0.0,10100.997782082326,0,,9549.241
2017-01-06 00:00:00+00:00,83.53,84.8,,71.29092,1.7492856,0.75,-10.0,10246.326836316483,0.0,10236.326836316483,0,,9677.052
2017-01-09 00:00:00+00:00,84.6,85.48,,74.923355,1.7964281,0.5829596412556054,-10.0,10328.490607385354,0.0,10318.490607385354,0,,9754.65
2017-01-10 00:00:00+00:00,85.1,84.83,,74.877144,1.8242853,0.5829596412556054,-10.0,10249.95150305912,0.0,10239.95150305912,0,,9680.475
2017-01-11 00:00:00+00:00,85.15,81.53,,70.169914,1.8649989,0.75,-10.0,9851.21415604445,0.0,9841.21415604445,0,,9303.891
2017-01-12 00:00:00+00:00,82.28,83.86,,56.089554,2.2035701,0.75,-10.0,10132.747275065527,0.0,10122.747275065527,0,,9569.782
2017-01-13 00:00:00+00:00,84.08,84.62,,62.40713,2.377856,0.75,-10.0,10224.578002981241,0.0,10214.578002981241,0,,9656.512
2017-01-17 00:00:00+00:00,84.92,85.99,,67.10196,2.376428,0.75,-10.0,10390.113233994884,0.0,10380.113233994884,0,,9812.85
2017-01-18 00:00:00+00:00,85.95,85.51,,68.09547,2.466428,0.75,-10.0,10332.11588184995,0.0,10322.11588184995,0,,9758.075
2017-01-19 00:00:00+00:00,85.28,85.47,,66.12049,2.467857,0.75,-10.0,10327.282753073354,0.0,10317.282753073354,0,,9753.511
2017-01-20 00:00:00+00:00,85.86,83.75,,67.51969,2.4642851,0.75,-10.0,10119.45632707357,0.0,10109.45632707357,0,,9557.23
2017-01-23 00:00:00+00:00,83.72,84.88,,60.475067,2.5478566,0.75,-10.0,10255.992737580196,0.0,10245.992737580196,0,,9686.181
