feature,importance
bollinger_lower,0.057520125
atr,0.05478505
mean_sentiment_score,0.049901314
sma200,0.0493822
vix_change_1d,0.046709623
vix_ma5,0.046122644
stochastic_oscillator,0.045128364
bollinger_upper,0.04508843
rsi,0.045040116
rsi_slope,0.0437204
ma21,0.043023285
ma_spread,0.04242889
volume_ratio,0.042258795
vix_close,0.0413817
return_21d,0.040915385
macd,0.04067404
price_to_sma200,0.03988458
return_5d,0.039402217
return_1d,0.038763903
atr_ratio,0.038005833
Close_FFD,0.037181914
volatility_21d,0.03709027
ma7,0.035590954
positive,0.0
negative,0.0
neutral,0.0
