feature,importance
bollinger_lower,0.058997307
ma7,0.046172567
atr,0.04611319
return_1d,0.045990583
ma_spread,0.045739498
volatility_21d,0.04471841
return_21d,0.04386284
Close_FFD,0.043368928
bollinger_upper,0.04252289
neutral,0.042504106
vix_close,0.042258058
stochastic_oscillator,0.041585356
return_5d,0.041284442
volume_ratio,0.041258864
vix_ma5,0.040576253
vix_change_1d,0.04032492
rsi,0.03950679
price_to_sma200,0.039150987
atr_ratio,0.038658716
sma200,0.038501024
ma21,0.03785444
rsi_slope,0.037239105
macd,0.031530388
mean_sentiment_score,0.030280298
negative,0.0
positive,0.0
