feature,importance
bollinger_upper,0.048913494
vix_close,0.04674359
ma21,0.046627257
return_21d,0.04541408
ma7,0.044702392
price_to_sma200,0.04450712
vix_ma5,0.044173058
bollinger_lower,0.044003803
atr_ratio,0.043930918
rsi,0.04357284
volatility_21d,0.042698123
Close_FFD,0.042031035
rsi_slope,0.0412874
return_1d,0.040972523
stochastic_oscillator,0.040543698
mean_sentiment_score,0.0403721
ma_spread,0.039996166
vix_change_1d,0.039494894
sma200,0.03945411
volume_ratio,0.039379705
return_5d,0.03726486
atr,0.035449933
negative,0.035005018
macd,0.033461876
positive,0.0
neutral,0.0
