feature,importance
Close_FFD,0.05195625
ma7,0.0478056
macd,0.04779754
volatility_21d,0.046690244
bollinger_upper,0.046048183
rsi,0.045663547
vix_ma5,0.045552365
sma200,0.044702206
rsi_slope,0.04469109
return_5d,0.044097796
ma_spread,0.043814924
vix_change_1d,0.04363669
atr,0.04326064
bollinger_lower,0.043085407
vix_close,0.04276113
return_21d,0.042095724
return_1d,0.04157416
stochastic_oscillator,0.04109605
volume_ratio,0.041034266
ma21,0.04065786
atr_ratio,0.03839049
mean_sentiment_score,0.036816414
price_to_sma200,0.03677139
positive,0.0
negative,0.0
neutral,0.0
