feature,importance
vix_close,0.049270328
atr_ratio,0.048784956
return_21d,0.047756422
bollinger_lower,0.047184512
return_5d,0.047042657
return_1d,0.046093907
vix_ma5,0.045635622
ma21,0.045410708
volatility_21d,0.045380194
sma200,0.044947524
vix_change_1d,0.044773232
macd,0.044492334
rsi_slope,0.044049524
ma_spread,0.04356925
Close_FFD,0.043097913
volume_ratio,0.04187068
stochastic_oscillator,0.041789707
price_to_sma200,0.040536527
rsi,0.04042972
bollinger_upper,0.039410606
atr,0.03783955
ma7,0.035755996
neutral,0.0348781
mean_sentiment_score,0.0
negative,0.0
positive,0.0
