,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-19 00:00:00+00:00,30.18,30.46,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-20 00:00:00+00:00,30.63,29.94,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9829.284
2016-09-21 00:00:00+00:00,29.98,30.26,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9934.341
2016-09-22 00:00:00+00:00,30.55,30.61,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,10049.245
2016-09-23 00:00:00+00:00,30.5,30.18,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9908.076
2016-09-26 00:00:00+00:00,30.06,29.92,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9822.719
2016-09-27 00:00:00+00:00,29.89,30.02,,,,0.5113636363636362,10000.0,0.0,0.0,10000.0,0,0.0,9855.55
2016-09-28 00:00:00+00:00,30.05,30.32,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9954.039
2016-09-29 00:00:00+00:00,30.37,30.14,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9894.945
2016-09-30 00:00:00+00:00,30.33,30.2,,,,0.5113636363636362,10000.0,0.0,0.0,10000.0,0,0.0,9914.644
2016-10-03 00:00:00+00:00,30.06,30.08,,,,0.5416666666666666,10000.0,0.0,0.0,10000.0,0,0.0,9875.247
2016-10-04 00:00:00+00:00,30.11,29.9,,,,0.5416666666666666,10000.0,0.0,0.0,10000.0,0,0.0,9816.153
2016-10-05 00:00:00+00:00,30.08,30.08,,,,0.75,10000.0,0.0,0.0,10000.0,0,0.0,9875.247
2016-10-06 00:00:00+00:00,29.91,30.28,,43.666683,,0.5416666666666666,10000.0,0.0,0.0,10000.0,0,0.0,9940.907
2016-10-07 00:00:00+00:00,30.33,29.6,,47.187527,0.5657143,0.5113636363636362,-10.0,9995.002498750626,0.0,9985.002498750626,1,,9717.663
2016-10-10 00:00:00+00:00,29.95,29.62,,38.91755,0.59214294,0.5416666666666666,-10.0,10001.75590457945,0.0,9991.75590457945,0,,9724.2295
2016-10-11 00:00:00+00:00,29.57,29.2,,45.266285,0.5757145,0.5113636363636362,-10.0,9859.935132935094,0.0,9849.935132935094,0,,9586.344
2016-10-12 00:00:00+00:00,29.3,29.47,,34.770145,0.57142884,0.391304347826087,-10.0,9951.10471298772,0.0,9941.10471298772,0,,9674.983
2016-10-13 00:00:00+00:00,29.19,28.88,,33.23529,0.5607146,0.5113636363636362,-10.0,9751.87995736518,0.0,9741.87995736518,0,,9481.287
