feature,importance
sma200,0.050441608
vix_ma5,0.05007162
return_21d,0.049643237
macd,0.048800226
Close_FFD,0.048670813
atr,0.045273703
rsi_slope,0.04482133
bollinger_upper,0.044568956
vix_change_1d,0.04446369
atr_ratio,0.04439892
price_to_sma200,0.044376653
rsi,0.042993035
vix_close,0.042806625
volatility_21d,0.042038072
volume_ratio,0.041914724
return_5d,0.041870262
neutral,0.041787427
stochastic_oscillator,0.040503982
ma7,0.039221905
ma_spread,0.03876018
return_1d,0.03871508
bollinger_lower,0.037051495
ma21,0.036806457
mean_sentiment_score,0.0
negative,0.0
positive,0.0
