feature,importance
stochastic_oscillator,0.048935268
bollinger_upper,0.04736515
bollinger_lower,0.046665464
sma200,0.04566637
vix_ma5,0.045582734
neutral,0.043906428
ma7,0.043844104
atr_ratio,0.043338373
atr,0.043273274
ma_spread,0.043185864
rsi_slope,0.043088213
macd,0.042692825
vix_close,0.042688392
return_21d,0.041494492
return_5d,0.04124995
volume_ratio,0.040899083
vix_change_1d,0.039240297
rsi,0.03914602
price_to_sma200,0.038718585
return_1d,0.03805025
volatility_21d,0.03782412
Close_FFD,0.036214173
ma21,0.03532423
mean_sentiment_score,0.031606324
negative,0.0
positive,0.0
