feature,importance
sma200,0.05277708
stochastic_oscillator,0.04951884
atr,0.048640534
rsi_slope,0.048182763
return_21d,0.048158694
atr_ratio,0.04543296
volume_ratio,0.045325708
ma_spread,0.045202527
macd,0.04472368
ma21,0.044632647
vix_change_1d,0.044120315
vix_ma5,0.043737225
rsi,0.042784635
bollinger_lower,0.042664457
price_to_sma200,0.041986857
ma7,0.041793264
bollinger_upper,0.041792255
vix_close,0.03983804
volatility_21d,0.039767135
Close_FFD,0.038459215
return_1d,0.038340814
return_5d,0.037907604
mean_sentiment_score,0.034212742
positive,0.0
negative,0.0
neutral,0.0
