feature,importance
vix_ma5,0.050780337
ma_spread,0.05022307
rsi,0.04951163
price_to_sma200,0.049081188
stochastic_oscillator,0.048825707
Close_FFD,0.04881135
macd,0.0487917
volatility_21d,0.04840491
sma200,0.0472446
rsi_slope,0.046886884
vix_close,0.04647926
return_5d,0.045728732
bollinger_lower,0.044490844
volume_ratio,0.04439969
return_21d,0.0431962
ma7,0.04210159
bollinger_upper,0.04179819
ma21,0.04129789
atr_ratio,0.040989436
return_1d,0.0409685
atr,0.040108304
vix_change_1d,0.03987997
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
