feature,importance
bollinger_lower,0.052442
vix_ma5,0.0481663
return_5d,0.046728376
price_to_sma200,0.04653349
rsi_slope,0.046229895
volume_ratio,0.04590651
Close_FFD,0.045177292
bollinger_upper,0.04467534
sma200,0.044017605
atr,0.04357781
vix_close,0.0435696
return_21d,0.04336454
ma21,0.04280188
atr_ratio,0.042767115
ma7,0.042688884
stochastic_oscillator,0.042308174
volatility_21d,0.042128816
ma_spread,0.04208643
vix_change_1d,0.042020593
return_1d,0.04142806
rsi,0.04121401
macd,0.039819654
neutral,0.03034758
mean_sentiment_score,0.0
negative,0.0
positive,0.0
