,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-19 00:00:00+00:00,31.215559,32.30146,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-20 00:00:00+00:00,32.32577,32.147488,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,9952.332
2016-09-21 00:00:00+00:00,32.252834,32.50405,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10062.719
2016-09-22 00:00:00+00:00,32.747166,33.2658,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10298.543
2016-09-23 00:00:00+00:00,33.314426,33.28201,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10303.561
2016-09-26 00:00:00+00:00,33.257698,33.41167,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10343.702
2016-09-27 00:00:00+00:00,33.427876,33.646675,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10416.455
2016-09-28 00:00:00+00:00,33.816856,34.1329,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10566.982
2016-09-29 00:00:00+00:00,34.124798,34.44084,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10662.316
2016-09-30 00:00:00+00:00,34.52188,35.51864,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10995.984
2016-10-03 00:00:00+00:00,35.51864,35.332253,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10938.282
2016-10-04 00:00:00+00:00,35.097244,35.51864,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10995.984
2016-10-05 00:00:00+00:00,35.52674,36.280388,,,,0.99,10000.0,0.0,0.0,10000.0,0,0.0,11231.809
2016-10-06 00:00:00+00:00,36.661263,38.419773,,92.69561,,0.625,10000.0,0.0,0.0,10000.0,0,0.0,11894.127
2016-10-07 00:00:00+00:00,38.338737,38.055103,,94.99401,1.0013893,0.5405405405405406,10000.0,0.0,0.0,10000.0,0,0.0,11781.231
2016-10-10 00:00:00+00:00,38.403564,38.32253,,90.15832,0.9724473,0.625,10000.0,0.0,0.0,10000.0,0,0.0,11864.0205
2016-10-11 00:00:00+00:00,38.36305,37.77958,,92.42759,0.9730263,0.5511498005297518,10000.0,0.0,0.0,10000.0,0,0.0,11695.933
2016-10-12 00:00:00+00:00,37.625607,36.91248,,85.342,0.9730263,0.6,10000.0,0.0,0.0,10000.0,0,0.0,11427.492
2016-10-13 00:00:00+00:00,36.604538,36.92058,,74.08992,0.9932856,0.6,10000.0,0.0,0.0,10000.0,0,0.0,11430.0
2016-10-14 00:00:00+00:00,37.042137,37.106968,,74.06214,1.0175966,0.6,-10.0,9995.002498750626,0.0,9985.002498750626,1,35.4306526184082,11487.702
2016-10-17 00:00:00+00:00,36.93679,37.188007,,74.25529,1.0291735,0.6,-10.0,10016.830726482463,0.0,10006.830726482463,0,35.58057403564453,11512.79
2016-10-18 00:00:00+00:00,37.67423,37.147488,,73.724205,1.0407503,0.6,-10.0,10005.916659113951,0.0,9995.916659113951,0,35.644248962402344,11500.245
2016-10-19 00:00:00+00:00,37.204212,37.293354,,71.478035,0.9961796,0.5121951219512195,-10.0,10045.20623955859,0.0,10035.20623955859,0,35.644248962402344,11545.403
2016-10-20 00:00:00+00:00,37.24473,37.293354,,70.80376,1.0210696,0.5886750227539075,-10.0,10045.20623955859,0.0,10035.20623955859,0,35.7990837097168,11545.403
2016-10-21 00:00:00+00:00,37.19611,37.77958,,65.35761,0.9608702,0.49034749034749037,-10.0,10176.173637393164,0.0,10166.173637393164,0,35.7990837097168,11695.93
2016-10-24 00:00:00+00:00,37.933548,37.86872,,70.13331,0.97997177,0.6,-10.0,10200.184415439404,0.0,10190.184415439404,0,36.33827209472656,11723.526
2016-10-25 00:00:00+00:00,37.80389,37.601295,,69.647675,0.92614037,0.6,-10.0,10128.151746291147,0.0,10118.151746291147,0,36.39876174926758,11640.736
2016-10-26 00:00:00+00:00,37.366287,37.844406,,62.038376,0.81037277,0.895652610441767,-10.0,10193.634653361289,0.0,10183.634653361289,0,36.39876174926758,11715.999
2016-10-27 00:00:00+00:00,37.901134,37.58509,,41.986446,0.69055337,0.6,-10.0,10123.78634004456,0.0,10113.78634004456,0,36.62884521484375,11635.719
2016-10-28 00:00:00+00:00,37.56078,37.625607,,43.255875,0.6859226,0.6,-10.0,10134.699878962223,0.0,10124.699878962223,0,36.62884521484375,11648.262
2016-10-31 00:00:00+00:00,37.8282,37.876823,,39.303455,0.6812916,0.6,-10.0,10202.367173168937,0.0,10192.367173168937,0,36.62884521484375,11726.035
2016-11-01 00:00:00+00:00,38.071312,37.155594,,51.639336,0.6772393,0.6,-10.0,10008.099624734507,0.0,9998.099624734507,0,36.85488510131836,11502.755
2016-11-02 00:00:00+00:00,37.188007,36.685574,,54.310394,0.67839706,0.706362951807229,-10.0,9881.496438147633,0.0,9871.496438147633,0,36.85488510131836,11357.244
2016-11-03 00:00:00+00:00,36.62885,36.685574,,46.419754,0.66334754,0.9655747991967871,9856.674193490413,0.0,0.0,9856.674193490413,-1,0.0,11357.244
2016-11-04 00:00:00+00:00,36.84765,36.774715,,43.193714,0.6286174,0.625,-4943.122108035443,14777.622478996122,4928.3370967452065,4906.1632742154725,1,35.6905517578125,11384.84
2016-11-07 00:00:00+00:00,37.098866,37.317665,,43.34201,0.6390365,0.625,-4944.099952697496,14995.80210088883,4928.3370967452065,5123.365051446128,0,35.831790924072266,11552.928
2016-11-08 00:00:00+00:00,37.682335,37.949757,,52.35954,0.75133103,0.99,-4945.077797359549,15249.80235136054,4928.3370967452065,5376.387457255785,0,36.35911178588867,11748.612
2016-11-09 00:00:00+00:00,37.649918,39.06807,,58.019806,0.8422083,0.625,-4946.055642021602,15699.188070856746,4928.3370967452065,5824.795332089938,0,36.82276153564453,12094.823
2016-11-10 00:00:00+00:00,39.47326,40.097244,,67.02954,1.000231,0.625,11141.550848647437,0.0,0.0,11141.550848647437,-1,0.0,12413.438
2016-11-11 00:00:00+00:00,39.98379,40.672607,,70.14084,1.0222272,0.625,-11.141550848647967,11135.982857218829,0.0,11124.841306370181,1,38.59689712524414,12591.5625
2016-11-14 00:00:00+00:00,40.923824,40.834682,,72.467514,1.1090524,0.6,-11.141550848647967,11180.358948574047,0.0,11169.217397725399,0,39.13926696777344,12641.738
2016-11-15 00:00:00+00:00,40.8671,40.640194,,76.35404,1.1200504,0.6,-11.141550848647967,11127.108818009852,0.0,11115.967267161204,0,39.171104431152344,12581.528
2016-11-16 00:00:00+00:00,40.54295,40.445705,,72.969406,1.1246812,0.625,-11.141550848647967,11073.858955822396,0.0,11062.717404973748,0,39.171104431152344,12521.318
2016-11-17 00:00:00+00:00,40.51864,40.397083,,73.75504,1.1003702,0.625,-11.141550848647967,11060.546338205744,0.0,11049.404787357096,0,39.171104431152344,12506.266
2016-11-18 00:00:00+00:00,40.51864,40.470016,,72.98388,1.0806895,0.6,-11.141550848647967,11080.515321652358,0.0,11069.37377080371,0,39.171104431152344,12528.845
2016-11-21 00:00:00+00:00,40.599674,40.76175,,72.16067,1.0575362,0.6,-11.141550848647967,11160.390166382296,0.0,11149.248615533648,0,39.171104431152344,12619.16
2016-11-22 00:00:00+00:00,40.745544,40.81037,,83.25856,1.0106504,0.6,-11.141550848647967,11173.702370743833,0.0,11162.560819895185,0,39.175445556640625,12634.213
2016-11-23 00:00:00+00:00,40.648296,40.8671,,91.24801,1.0019678,0.6,-11.141550848647967,11189.234929106942,0.0,11178.093378258294,0,39.294395446777344,12651.776
2016-11-25 00:00:00+00:00,41.037277,41.13452,,91.34619,1.0077561,0.5405405405405406,-11.141550848647967,11262.453213204677,0.0,11251.311662356029,0,39.3641471862793,12734.564
2016-11-28 00:00:00+00:00,40.923824,40.76175,,91.6409,1.0123869,0.5121951219512195,-11.141550848647967,11160.38959391673,0.0,11149.248043068083,0,39.622886657714844,12619.16
2016-11-29 00:00:00+00:00,40.883305,40.721233,,84.000015,0.91282684,0.6,-11.141550848647967,11149.296534325189,0.0,11138.154983476541,0,39.622886657714844,12606.617
2016-11-30 00:00:00+00:00,41.029175,41.32901,,80.978325,0.78027314,0.5405405405405406,-11.141550848647967,11315.702477324383,0.0,11304.560926475735,0,39.622886657714844,12794.773
