feature,importance
bollinger_upper,0.050431985
atr_ratio,0.049600404
return_5d,0.04948603
ma_spread,0.04682354
atr,0.04650426
vix_close,0.046119526
stochastic_oscillator,0.04579674
Close_FFD,0.04481559
sma200,0.044540975
macd,0.044127733
vix_ma5,0.04394838
return_21d,0.04382086
rsi_slope,0.04347576
ma21,0.04339383
volatility_21d,0.04334893
volume_ratio,0.043006647
return_1d,0.041771434
rsi,0.04083882
vix_change_1d,0.03932384
mean_sentiment_score,0.037938148
ma7,0.037824363
price_to_sma200,0.036929365
bollinger_lower,0.036132824
positive,0.0
negative,0.0
neutral,0.0
