feature,importance
bollinger_upper,0.049529515
price_to_sma200,0.04858847
macd,0.047438882
atr,0.04639817
Close_FFD,0.046070836
sma200,0.04569755
rsi,0.045552246
ma21,0.045511935
stochastic_oscillator,0.04548413
bollinger_lower,0.04510744
atr_ratio,0.04495709
volatility_21d,0.044196118
volume_ratio,0.043399382
return_1d,0.04314672
return_5d,0.04291257
rsi_slope,0.04261836
vix_ma5,0.04059248
ma_spread,0.040478095
mean_sentiment_score,0.039395742
vix_change_1d,0.039054163
return_21d,0.03900038
vix_close,0.03812546
ma7,0.036744278
positive,0.0
negative,0.0
neutral,0.0
