feature,importance
return_5d,0.055621896
volume_ratio,0.0515962
return_1d,0.051225945
rsi_slope,0.051094055
bollinger_lower,0.050643455
ma21,0.050410084
atr_ratio,0.049941253
macd,0.049451504
bollinger_upper,0.048844017
vix_change_1d,0.048622996
atr,0.04800513
return_21d,0.04757862
stochastic_oscillator,0.04739353
price_to_sma200,0.047061026
volatility_21d,0.046328604
sma200,0.0449609
vix_ma5,0.0445727
ma_spread,0.044506203
vix_close,0.042241964
ma7,0.041043986
rsi,0.03885595
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
