feature,importance
bollinger_upper,0.05041187
stochastic_oscillator,0.0473599
mean_sentiment_score,0.046280414
volume_ratio,0.044588704
ma21,0.04450287
return_21d,0.04426034
vix_change_1d,0.04310522
atr,0.043031156
vix_ma5,0.04298016
atr_ratio,0.042688593
ma7,0.042546306
vix_close,0.04241581
Close_FFD,0.04193057
return_5d,0.04161287
price_to_sma200,0.041390166
rsi,0.04126586
ma_spread,0.041143324
volatility_21d,0.04108358
macd,0.039978378
sma200,0.03925949
return_1d,0.03869282
rsi_slope,0.038143996
bollinger_lower,0.03766795
neutral,0.02365965
negative,0.0
positive,0.0
