feature,importance
return_21d,0.05355229
macd,0.052491106
price_to_sma200,0.049196858
vix_ma5,0.04728531
atr,0.047157332
rsi,0.046787575
return_5d,0.046775736
return_1d,0.046099324
vix_change_1d,0.04468821
sma200,0.044463523
bollinger_lower,0.043686338
Close_FFD,0.043285757
rsi_slope,0.04255756
volume_ratio,0.041906945
ma21,0.041846924
atr_ratio,0.041236565
bollinger_upper,0.039982107
stochastic_oscillator,0.039322823
volatility_21d,0.038779706
ma_spread,0.037671328
vix_close,0.037264913
mean_sentiment_score,0.036998138
ma7,0.036963593
positive,0.0
negative,0.0
neutral,0.0
