,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2022-07-26 00:00:00+00:00,130.8,132.34,143.639,71.03158,2.9164286,0.41271624,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2022-07-27 00:00:00+00:00,132.7,134.69,143.59285,71.75698,2.9485714,0.67511755,10000.0,0.0,0.0,10000.0,0,0.0,10177.573
2022-07-28 00:00:00+00:00,136.63,139.15,143.55635,72.67673,3.0371428,0.5730442,-10.0,9995.002498750626,0.0,9985.002498750626,1,130.26715087890625,10514.582
2022-07-29 00:00:00+00:00,139.18,141.22,143.53195,81.43113,3.1942856,0.46158412,-10.0,10143.689427716563,0.0,10133.689427716563,0,134.5942840576172,10670.998
2022-08-01 00:00:00+00:00,139.73,140.3,143.5186,82.73909,3.3014286,0.26060256,-10.0,10077.606654086507,0.0,10067.606654086507,0,136.42857360839844,10601.48
2022-08-02 00:00:00+00:00,141.41,139.23,143.5059,82.62895,3.2735715,0.41004375,-10.0,10000.748848583477,0.0,9990.748848583477,0,136.42857360839844,10520.626
2022-08-03 00:00:00+00:00,140.16,141.41,143.49236,82.90484,3.3864286,0.45870772,-10.0,10157.336015073697,0.0,10147.336015073697,0,136.42857360839844,10685.354
2022-08-04 00:00:00+00:00,142.13,141.4,143.4813,85.63728,3.3814285,0.40089694,-10.0,10156.616770880506,0.0,10146.616770880506,0,136.42857360839844,10684.597
2022-08-05 00:00:00+00:00,140.24,141.43,143.44135,83.6808,3.1778572,0.28713554,-10.0,10158.77192914421,0.0,10148.77192914421,0,136.42857360839844,10686.863
2022-08-08 00:00:00+00:00,142.87,140.67,143.39255,90.20898,3.0285714,0.38461763,-10.0,10104.182175798243,0.0,10094.182175798243,0,136.6632080078125,10629.436
2022-08-09 00:00:00+00:00,140.27,139.27,143.3411,84.70479,2.807857,0.35898253,-10.0,10003.622255352719,0.0,9993.622255352719,0,136.6632080078125,10523.648
2022-08-10 00:00:00+00:00,142.08,142.0,143.282,78.04307,2.7807143,0.42541963,-10.0,10199.715054725264,0.0,10189.715054725264,0,136.6632080078125,10729.936
2022-08-11 00:00:00+00:00,143.22,142.91,143.2284,77.47358,2.7514286,0.3541264,-10.0,10265.07944914111,0.0,10255.07944914111,0,137.8289337158203,10798.697
2022-08-12 00:00:00+00:00,143.62,145.75,143.18385,80.37736,2.715,0.36646473,-10.0,10469.073938392441,0.0,10459.073938392441,0,138.78286743164062,11013.297
2022-08-15 00:00:00+00:00,145.49,145.77,143.1526,82.43985,2.8207142,0.3978533,10444.804633301375,0.0,0.0,10444.804633301375,-1,0.0,11014.809
2022-08-16 00:00:00+00:00,144.47,146.42,143.12614,80.873566,2.6978571,0.36477622,10444.804633301375,0.0,0.0,10444.804633301375,0,0.0,11063.924
2022-08-17 00:00:00+00:00,144.82,145.37,143.10895,79.25187,2.6221428,0.47015622,10444.804633301375,0.0,0.0,10444.804633301375,0,0.0,10984.583
