feature,importance
Close_FFD,0.049094614
atr_ratio,0.049046945
vix_ma5,0.047872987
bollinger_lower,0.04615337
volume_ratio,0.04595585
price_to_sma200,0.04500093
return_1d,0.04468786
rsi_slope,0.044502538
neutral,0.04431898
return_21d,0.04430621
sma200,0.043977134
stochastic_oscillator,0.04333892
bollinger_upper,0.04322562
atr,0.042820025
rsi,0.042811558
vix_close,0.042542357
macd,0.04180641
return_5d,0.04157055
ma7,0.040785804
volatility_21d,0.03983616
ma21,0.03928803
vix_change_1d,0.038564056
ma_spread,0.038493108
mean_sentiment_score,0.0
negative,0.0
positive,0.0
