feature,importance
mean_sentiment_score,0.053292852
vix_close,0.048400346
vix_ma5,0.04670555
price_to_sma200,0.04652826
bollinger_lower,0.04483155
return_21d,0.043526076
volume_ratio,0.043183047
volatility_21d,0.042434663
rsi,0.041944966
atr,0.0416647
atr_ratio,0.041153993
stochastic_oscillator,0.040529158
rsi_slope,0.04029339
Close_FFD,0.039812487
ma7,0.03916531
return_5d,0.03902943
vix_change_1d,0.038999755
ma21,0.0389589
return_1d,0.03893391
bollinger_upper,0.038442552
macd,0.038363528
ma_spread,0.03829235
sma200,0.038218137
neutral,0.037295148
negative,0.0
positive,0.0
