,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2021-02-10 00:00:00+00:00,43.0,44.99,,,,0.47668393782383417,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2021-02-11 00:00:00+00:00,45.47,42.8,,,,0.47668393782383417,10000.0,0.0,0.0,10000.0,0,0.0,9513.225
2021-02-12 00:00:00+00:00,43.01,42.51,,,,0.4,10000.0,0.0,0.0,10000.0,0,0.0,9448.766
2021-02-16 00:00:00+00:00,44.2,43.55,,,,0.42857142857142855,10000.0,0.0,0.0,10000.0,0,0.0,9679.928
2021-02-17 00:00:00+00:00,44.03,44.26,,,,0.47668393782383417,10000.0,0.0,0.0,10000.0,0,0.0,9837.74
2021-02-18 00:00:00+00:00,44.24,43.0,,,,0.47668393782383417,10000.0,0.0,0.0,10000.0,0,0.0,9557.678
2021-02-19 00:00:00+00:00,43.66,44.0,,,,0.47668393782383417,10000.0,0.0,0.0,10000.0,0,0.0,9779.95
2021-02-22 00:00:00+00:00,44.84,43.84,,,,0.47668393782383417,10000.0,0.0,0.0,10000.0,0,0.0,9744.386
2021-02-23 00:00:00+00:00,43.95,43.66,,,,0.47668393782383417,10000.0,0.0,0.0,10000.0,0,0.0,9704.377
2021-02-24 00:00:00+00:00,43.24,45.0,,,,0.47668393782383417,10000.0,0.0,0.0,10000.0,0,0.0,10002.221
2021-02-25 00:00:00+00:00,45.32,44.75,,,,0.42857142857142855,10000.0,0.0,0.0,10000.0,0,0.0,9946.652
2021-02-26 00:00:00+00:00,44.56,44.18,,,,0.47668393782383417,10000.0,0.0,0.0,10000.0,0,0.0,9819.958
2021-03-01 00:00:00+00:00,44.45,44.67,,,,0.47668393782383417,10000.0,0.0,0.0,10000.0,0,0.0,9928.871
2021-03-02 00:00:00+00:00,44.67,45.3,,48.312218,,0.47668393782383417,10000.0,0.0,0.0,10000.0,0,0.0,10068.901
2021-03-03 00:00:00+00:00,45.51,47.25,,51.533123,2.2589288,0.99,10000.0,0.0,0.0,10000.0,0,0.0,10502.331
2021-03-04 00:00:00+00:00,47.66,46.18,,59.36981,1.9317858,0.99,-5015.0,14992.503748125939,5000.0,4977.503748125939,1,43.86160659790039,10264.502
2021-03-05 00:00:00+00:00,47.0,45.03,,65.44791,1.9517858,0.99,-5015.992063492064,14619.151691625502,5000.0,4603.159628133439,0,43.86160659790039,10008.89
2021-03-08 00:00:00+00:00,44.69,44.37,,60.677967,2.0310714,0.99,-5016.984126984127,14404.88022732093,5000.0,4387.896100336802,0,43.86160659790039,9862.189
2021-03-09 00:00:00+00:00,43.69,44.28,,53.59019,1.9660715,0.99,9336.121604238562,0.0,0.0,9336.121604238562,-1,0.0,9842.186
2021-03-10 00:00:00+00:00,44.26,44.75,,50.092594,1.9818573,0.5,-4682.064984525638,13997.183814450618,4668.06080211928,4647.0580278057005,1,41.33089065551758,9946.653
2021-03-11 00:00:00+00:00,44.75,45.34,,58.741257,1.9018571,0.99,-4682.991187065741,14181.72701107044,4668.06080211928,4830.6750218854195,0,41.77721405029297,10077.792
2021-03-12 00:00:00+00:00,46.13,45.75,,56.979164,1.879,0.5,-4683.917389605844,14309.968679312866,4668.06080211928,4957.990487587742,0,42.487213134765625,10168.923
2021-03-15 00:00:00+00:00,45.92,45.75,,59.695427,1.8818575,0.47668393782383417,-4684.843592145947,14309.968679312866,4668.06080211928,4957.064285047638,0,42.93149948120117,10168.923
2021-03-16 00:00:00+00:00,45.78,44.81,,60.806618,1.8247147,0.47668393782383417,-4685.76979468605,14015.949819247924,4668.06080211928,4662.119222442594,0,42.93149948120117,9959.988
2021-03-17 00:00:00+00:00,44.87,45.28,,48.975197,1.788286,0.47668393782383417,-4686.695997226153,14162.95792176583,4668.06080211928,4808.201122420398,0,42.93149948120117,10064.454
2021-03-18 00:00:00+00:00,44.92,43.5,,52.792408,1.7882856,0.47668393782383417,-4687.622199766256,13606.198843726519,4668.06080211928,4250.515841840983,0,42.93149948120117,9668.811
2021-03-19 00:00:00+00:00,43.3,43.31,,46.822426,1.8264999,0.5,-4688.548402306359,13546.770113413371,4668.06080211928,4190.160908987733,0,42.93149948120117,9626.58
2021-03-22 00:00:00+00:00,43.23,42.75,,43.46155,1.8093573,0.47668393782383417,-4689.474604846462,13371.609086251721,4668.06080211928,4014.073679285979,0,42.93149948120117,9502.107
2021-03-23 00:00:00+00:00,42.28,41.7,,37.65731,1.7736429,0.47668393782383417,8333.21799479763,0.0,0.0,8333.21799479763,-1,0.0,9268.723
2021-03-24 00:00:00+00:00,42.5,41.6,,20.572634,1.7229288,0.47668393782383417,8333.21799479763,0.0,0.0,8333.21799479763,0,0.0,9246.495
2021-03-25 00:00:00+00:00,41.15,42.16,,22.931429,1.6172144,0.47668393782383417,8333.21799479763,0.0,0.0,8333.21799479763,0,0.0,9370.967
2021-03-26 00:00:00+00:00,42.27,43.33,,31.766205,1.5650717,0.47668393782383417,8333.21799479763,0.0,0.0,8333.21799479763,0,0.0,9631.025
2021-03-29 00:00:00+00:00,43.4,42.52,,43.79477,1.4993572,0.4,8333.21799479763,0.0,0.0,8333.21799479763,0,0.0,9450.984
2021-03-30 00:00:00+00:00,42.27,43.14,,40.32968,1.4885714,0.47668393782383417,8333.21799479763,0.0,0.0,8333.21799479763,0,0.0,9588.792
2021-03-31 00:00:00+00:00,43.03,43.39,,41.297295,1.5607145,0.5,8333.21799479763,0.0,0.0,8333.21799479763,0,0.0,9644.36
2021-04-01 00:00:00+00:00,43.09,44.93,,39.057236,1.6334288,0.5,8333.21799479763,0.0,0.0,8333.21799479763,0,0.0,9986.659
