,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,74.97,75.73,,,,0.7901380771180768,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,75.65,74.24,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,9803.247
2020-07-29 00:00:00+00:00,75.93,78.26,,,,0.9544360810549923,10000.0,0.0,0.0,10000.0,0,0.0,10334.082
2020-07-30 00:00:00+00:00,77.83,77.52,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10236.366
2020-07-31 00:00:00+00:00,77.54,78.83,,,,0.9544360810549923,10000.0,0.0,0.0,10000.0,0,0.0,10409.351
2020-08-03 00:00:00+00:00,78.83,80.17,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10586.294
2020-08-04 00:00:00+00:00,80.21,81.03,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10699.855
2020-08-05 00:00:00+00:00,77.36,78.56,,,,0.6307692307692307,10000.0,0.0,0.0,10000.0,0,0.0,10373.696
2020-08-06 00:00:00+00:00,78.83,78.88,,,,0.857384801918299,10000.0,0.0,0.0,10000.0,0,0.0,10415.951
2020-08-07 00:00:00+00:00,79.54,79.79,,,,0.6363636363636364,10000.0,0.0,0.0,10000.0,0,0.0,10536.115
2020-08-10 00:00:00+00:00,79.59,79.56,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10505.744
2020-08-11 00:00:00+00:00,79.88,79.99,,,,0.8354292807641441,10000.0,0.0,0.0,10000.0,0,0.0,10562.524
2020-08-12 00:00:00+00:00,80.7,80.43,,,,0.6666666666666666,10000.0,0.0,0.0,10000.0,0,0.0,10620.626
2020-08-13 00:00:00+00:00,80.05,80.2,,66.14011,,0.6307692307692307,10000.0,0.0,0.0,10000.0,0,0.0,10590.255
2020-08-14 00:00:00+00:00,80.34,80.38,,65.111565,1.795,0.6666666666666666,-10.0,9995.002498750626,0.0,9985.002498750626,1,,10614.023
2020-08-17 00:00:00+00:00,80.53,80.8,,65.53106,1.7857143,0.6666666666666666,-10.0,10047.2293931922,0.0,10037.2293931922,0,,10669.484
2020-08-18 00:00:00+00:00,80.83,81.08,,73.59712,1.735,0.6307692307692307,-10.0,10082.046005344144,0.0,10072.046005344144,0,,10706.457
2020-08-19 00:00:00+00:00,81.52,81.44,,63.877953,1.4907143,0.6666666666666666,-10.0,10126.810987271425,0.0,10116.810987271425,0,,10753.994
2020-08-20 00:00:00+00:00,80.88,81.14,,70.0409,1.45,0.6666666666666666,-10.0,10089.506389211392,0.0,10079.506389211392,0,,10714.38
2020-08-21 00:00:00+00:00,80.87,80.64,,63.1699,1.3642857,0.854100136944037,-10.0,10027.333169975123,0.0,10017.333169975123,0,,10648.355
2020-08-24 00:00:00+00:00,80.97,81.38,,52.96343,1.315,0.99,-10.0,10119.350114871288,0.0,10109.350114871288,0,,10746.071
2020-08-25 00:00:00+00:00,81.56,81.66,,52.24072,1.165,0.6666666666666666,-10.0,10154.168144556967,0.0,10144.168144556967,0,,10783.045
2020-08-26 00:00:00+00:00,81.33,81.8,,77.58007,0.9514286,0.6307692307692307,-10.0,10171.57714093098,0.0,10161.57714093098,0,,10801.532
2020-08-27 00:00:00+00:00,81.91,81.67,,76.838234,0.93214285,0.6363636363636364,-10.0,10155.411471198542,0.0,10145.411471198542,0,,10784.365
2020-08-28 00:00:00+00:00,82.43,82.96,,70.17168,0.9042857,0.8400654047607449,-10.0,10315.818539920052,0.0,10305.818539920052,0,,10954.707
2020-08-31 00:00:00+00:00,82.87,82.58,,79.72028,0.9114286,0.6666666666666666,-10.0,10268.56695639417,0.0,10258.56695639417,0,,10904.529
2020-09-01 00:00:00+00:00,82.5,83.72,,72.83951,0.86714286,0.99,-10.0,10410.32240130843,0.0,10400.32240130843,0,,11055.064
2020-09-02 00:00:00+00:00,83.77,84.78,,75.82417,0.8792857,0.6666666666666666,-10.0,10542.129769377478,0.0,10532.129769377478,0,,11195.035
2020-09-03 00:00:00+00:00,84.35,82.75,,81.80556,0.9235714,0.6363636363636364,-10.0,10289.705658677314,0.0,10279.705658677314,0,,10926.978
2020-09-04 00:00:00+00:00,82.92,81.99,,63.09392,1.0192857,0.99,-10.0,10195.201905740676,0.0,10185.201905740676,0,,10826.621
