feature,importance
bollinger_upper,0.054581024
atr_ratio,0.045886245
ma7,0.045781527
return_5d,0.044686664
rsi,0.04454147
volatility_21d,0.04443928
volume_ratio,0.043580864
stochastic_oscillator,0.043387078
macd,0.042696193
return_1d,0.042162456
rsi_slope,0.04208657
sma200,0.042008072
Close_FFD,0.041621402
price_to_sma200,0.04141286
ma21,0.04070878
ma_spread,0.040640365
vix_change_1d,0.040242475
bollinger_lower,0.039547715
vix_ma5,0.039021008
vix_close,0.03900635
return_21d,0.03871791
atr,0.038540367
mean_sentiment_score,0.032870162
neutral,0.031833127
negative,0.0
positive,0.0
