feature,importance
Close_FFD,0.048228115
sma200,0.04542841
volatility_21d,0.045305762
atr,0.045257628
macd,0.045069747
price_to_sma200,0.04487712
stochastic_oscillator,0.04486389
return_21d,0.044515166
ma21,0.04397777
return_1d,0.043882094
atr_ratio,0.043623947
bollinger_lower,0.042921368
ma7,0.042541075
return_5d,0.04228161
volume_ratio,0.041999668
bollinger_upper,0.04093781
vix_change_1d,0.040850814
rsi_slope,0.039780166
ma_spread,0.039106537
mean_sentiment_score,0.0380265
rsi,0.037522998
vix_close,0.035096165
vix_ma5,0.034074802
neutral,0.029830735
negative,0.0
positive,0.0
