feature,importance
vix_ma5,0.047917623
volatility_21d,0.047637593
bollinger_upper,0.04624349
rsi,0.046204586
volume_ratio,0.045552183
atr_ratio,0.04462475
price_to_sma200,0.04423857
return_1d,0.044002876
ma_spread,0.04372277
ma7,0.043514315
ma21,0.043489162
macd,0.0418905
sma200,0.04152125
bollinger_lower,0.04140746
rsi_slope,0.041220814
return_5d,0.04110528
atr,0.040875714
vix_change_1d,0.039881535
stochastic_oscillator,0.03928261
Close_FFD,0.03818215
vix_close,0.03737861
return_21d,0.036762528
neutral,0.035642352
mean_sentiment_score,0.02770128
negative,0.0
positive,0.0
