,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2020-07-27 00:00:00+00:00,100.07,101.16,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2020-07-28 00:00:00+00:00,100.835,99.94,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9879.399
2020-07-29 00:00:00+00:00,99.94,101.37,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,10020.759
2020-07-30 00:00:00+00:00,100.06,100.44,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9928.825
2020-07-31 00:00:00+00:00,100.23,99.76,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9861.605
2020-08-03 00:00:00+00:00,100.96,100.54,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9938.71
2020-08-04 00:00:00+00:00,100.58,99.65,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9850.73
2020-08-05 00:00:00+00:00,100.365,98.045,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9692.071
2020-08-06 00:00:00+00:00,101.86,102.36,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,10118.623
2020-08-07 00:00:00+00:00,101.72,103.92,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,10272.834
2020-08-10 00:00:00+00:00,103.58,99.35,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9821.074
2020-08-11 00:00:00+00:00,99.09,98.16,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9703.44
2020-08-12 00:00:00+00:00,98.95,97.97,,,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9684.657
2020-08-13 00:00:00+00:00,98.06,99.44,,41.761364,,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9829.973
2020-08-14 00:00:00+00:00,99.4,99.82,,45.871338,2.7685714,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9867.536
2020-08-17 00:00:00+00:00,100.18,102.19,,46.841114,2.742143,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,10101.819
2020-08-18 00:00:00+00:00,102.35,102.67,,55.031307,2.8017857,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,10149.268
2020-08-19 00:00:00+00:00,103.99,100.44,,53.035965,2.7989285,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9928.825
2020-08-20 00:00:00+00:00,99.08,97.02,,50.0,2.9289286,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9590.747
2020-08-21 00:00:00+00:00,96.64,95.75,,44.616898,3.0825,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9465.203
2020-08-24 00:00:00+00:00,96.21,96.205,,40.767155,3.120357,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9510.181
2020-08-25 00:00:00+00:00,96.73,98.225,,43.24642,3.1164286,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9709.864
2020-08-26 00:00:00+00:00,98.35,97.91,,50.34722,3.0507143,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9678.727
2020-08-27 00:00:00+00:00,99.255,99.05,,39.849453,2.7517858,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9791.418
2020-08-28 00:00:00+00:00,99.26,100.13,,38.67442,2.6064286,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9898.179
2020-08-31 00:00:00+00:00,100.21,99.74,,52.165462,2.3925,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9859.626
2020-09-01 00:00:00+00:00,99.25,99.37,,54.590355,2.3421428,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,9823.051
2020-09-02 00:00:00+00:00,99.885,103.18,,54.025303,2.2760713,0.5041666666666668,10000.0,0.0,0.0,10000.0,0,0.0,10199.682
