feature,importance
bollinger_lower,0.05123866
atr_ratio,0.051088482
vix_ma5,0.050411034
ma21,0.05014404
ma_spread,0.047964815
macd,0.047742724
rsi_slope,0.04768092
sma200,0.047628693
return_1d,0.047235645
bollinger_upper,0.04684628
rsi,0.046244394
stochastic_oscillator,0.045145568
atr,0.0450878
return_21d,0.044057474
vix_change_1d,0.043655615
vix_close,0.04365224
volatility_21d,0.04182297
Close_FFD,0.041757245
return_5d,0.04139538
ma7,0.04056704
price_to_sma200,0.039735105
volume_ratio,0.0388979
mean_sentiment_score,0.0
positive,0.0
negative,0.0
neutral,0.0
